"Rank","Year","Player","Team","Pos","Snaps","Points Earned","PE Per Snap","Points Above Avg","PAA Per Snap","PAR","WAR","Snaps","Points Earned","Points Above Avg","Snaps","Points Earned","Points Above Avg"
"42","2026","Garrett Bolles","Broncos","LT","102","6.25","0.061","2.93","0.029","0.0","0.0","65","3.41","1.51","37","2.84","1.42"
"239","2026","Josh Conerly Jr.","Commanders","RT","134","6.24","0.047","2.75","0.020","0.0","0.0","80","3.14","1.32","54","3.10","1.43"
"53","2026","Erik McCoy","Saints","C","149","6.14","0.041","2.77","0.019","0.0","0.0","102","2.71","0.68","47","3.43","2.09"
"186","2026","Cesar Ruiz","Saints","RG","149","6.13","0.041","2.76","0.019","0.0","0.0","102","2.85","0.82","47","3.28","1.95"
"115","2026","O'Cyrus Torrence","Bills","RG","117","5.74","0.049","2.36","0.020","0.0","0.0","70","2.17","0.39","47","3.57","1.97"
"255","2026","Jon Runyan Jr.","Giants","LG","120","5.55","0.046","2.10","0.018","0.0","0.0","68","3.71","2.01","52","1.84","0.10"
"276","2026","Spencer Brown","Bills","RT","117","5.55","0.047","2.17","0.019","0.0","0.0","70","3.59","1.81","47","1.97","0.36"
"44","2026","Brian O'Neill","Vikings","RT","109","5.53","0.051","2.01","0.018","0.0","0.0","54","2.31","0.84","55","3.23","1.17"
"166","2026","Matt Goncalves","Colts","RG","116","5.46","0.047","1.95","0.017","0.0","0.0","67","2.70","0.92","49","2.76","1.02"
"191","2026","Alaric Jackson","Rams","LT","113","5.41","0.048","2.04","0.018","0.0","0.0","62","2.86","1.27","51","2.55","0.77"
"202","2026","Steve Avila","Rams","LG","113","5.39","0.048","2.02","0.018","0.0","0.0","62","2.09","0.50","51","3.30","1.52"
"232","2026","Dion Dawkins","Bills","LT","117","5.38","0.046","2.00","0.017","0.0","0.0","70","2.42","0.64","47","2.96","1.36"
"13","2026","Connor Colby","49ers","LG","111","5.28","0.048","1.80","0.016","0.0","0.0","61","2.78","1.14","50","2.51","0.66"
"159","2026","Grey Zabel","Seahawks","LG","114","5.26","0.046","1.68","0.015","0.0","0.0","54","2.15","0.68","60","3.11","1.00"
"110","2026","Darnell Wright","Bears","RT","140","5.22","0.037","1.72","0.012","0.0","0.0","80","3.27","1.55","60","1.95","0.17"
"67","2026","Creed Humphrey","Chiefs","C","142","5.20","0.037","1.77","0.012","0.0","0.0","84","2.20","0.45","58","3.00","1.32"
"97","2026","Dominick Puni","49ers","RG","106","5.17","0.049","1.90","0.018","0.0","0.0","61","2.78","1.14","45","2.39","0.76"
"34","2026","Jake Brendel","49ers","C","106","5.14","0.049","1.89","0.018","0.0","0.0","61","2.43","0.81","45","2.71","1.08"
"136","2026","Jonah Jackson","Bears","RG","140","5.09","0.036","1.58","0.011","0.0","0.0","80","1.96","0.24","60","3.13","1.34"
"142","2026","John Simpson","Ravens","LG","117","5.07","0.043","1.69","0.014","0.0","0.0","68","2.63","0.93","49","2.44","0.76"
"121","2026","Sam Cosmi","Commanders","RG","131","4.97","0.038","1.57","0.012","0.0","0.0","80","2.72","0.90","51","2.25","0.67"
"234","2026","Dalton Risner","Bengals","RG","120","4.76","0.040","1.32","0.011","0.0","0.0","71","1.47","-0.30","49","3.29","1.62"
"112","2026","T.J. Bass","Cowboys","LG","106","4.69","0.044","1.31","0.012","0.0","0.0","71","2.56","0.52","35","2.13","0.80"
"261","2026","Olu Fashanu","Jets","LT","132","4.68","0.035","1.24","0.009","0.0","0.0","75","1.86","0.22","57","2.81","1.03"
"151","2026","Joe Thuney","Bears","LG","140","4.64","0.033","1.13","0.008","0.0","0.0","80","2.15","0.43","60","2.49","0.71"
"150","2026","Ted Karras","Bengals","C","120","4.64","0.039","1.20","0.010","0.0","0.0","71","1.65","-0.12","49","2.99","1.32"
"211","2026","Tanor Bortolini","Colts","C","116","4.61","0.040","1.10","0.009","0.0","0.0","67","2.18","0.41","49","2.43","0.69"
"196","2026","Zach Bako-Bewele","Packers","RT","70","4.57","0.065","2.77","0.040","0.0","0.0","49","3.87","2.73","21","0.70","0.04"
"182","2026","David Edwards","Saints","LG","149","4.52","0.030","1.15","0.008","0.0","0.0","102","2.39","0.36","47","2.13","0.80"
"30","2026","Lane Johnson","Eagles","RT","123","4.52","0.037","1.12","0.009","0.0","0.0","77","3.83","1.94","46","0.69","-0.81"
"107","2026","DJ Glaze","Raiders","RT","121","4.52","0.037","1.10","0.009","0.0","0.0","62","2.70","1.21","59","1.82","-0.10"
"173","2026","Quenton Nelson","Colts","LG","116","4.50","0.039","0.98","0.008","0.0","0.0","67","2.14","0.36","49","2.36","0.62"
"108","2026","Cooper Beebe","Cowboys","C","106","4.45","0.042","1.07","0.010","0.0","0.0","71","2.52","0.48","35","1.93","0.59"
"247","2026","Emmanuel Pregnon","Jaguars","LG","108","4.43","0.041","0.94","0.009","0.0","0.0","56","1.13","-0.41","52","3.29","1.34"
"200","2026","Alec Anderson","Bills","LG","117","4.39","0.038","1.01","0.009","0.0","0.0","70","1.43","-0.35","47","2.96","1.35"
"189","2026","Will Fries","Vikings","RG","109","4.38","0.040","0.85","0.008","0.0","0.0","54","0.60","-0.87","55","3.78","1.72"
"208","2026","JC Latham","Titans","RT","100","4.37","0.044","0.91","0.009","0.0","0.0","63","2.88","0.95","37","1.48","-0.04"
"233","2026","Coleman Shelton","Rams","C","113","4.36","0.039","0.99","0.009","0.0","0.0","62","1.25","-0.34","51","3.11","1.33"
