"Rank","Season","Player","Team","Pos.","Cov. Snaps","Tgts","Points Saved","PS Per Play","Points Above Avg","PAA Per Play","EPA","EPA/Tgt","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2025","Derek Stingley Jr.","Texans","CB","543","60","38.91","0.072","19.51","0.036","-8.17","-0.14","41.7%","23.6","0.7","26.7%","23.3%"
"[object Object]","2025","Kevin Byard III","Bears","S","586","29","37.45","0.064","17.73","0.031","-3.60","-0.12","44.8%","21.2","0.7","24.1%","17.2%"
"[object Object]","2025","Mike Jackson","Panthers","CB","557","79","35.61","0.064","16.44","0.030","-9.47","-0.12","45.6%","20.7","0.6","24.1%","21.5%"
"[object Object]","2025","Cooper DeJean","Eagles","CB","575","60","34.60","0.061","16.24","0.029","-7.14","-0.12","41.7%","21.0","0.7","18.3%","20.0%"
"[object Object]","2025","Ernest Jones IV","Seahawks","LB","504","22","33.46","0.071","17.64","0.037","-2.34","-0.11","54.5%","18.9","0.6","31.8%","18.2%"
"[object Object]","2025","Deommodore Lenoir","49ers","CB","619","47","33.33","0.054","12.42","0.020","-0.57","-0.01","48.9%","17.0","0.5","12.8%","10.6%"
"[object Object]","2025","Pat Surtain II","Broncos","CB","527","62","33.21","0.063","15.71","0.030","-9.23","-0.15","41.9%","19.7","0.6","11.3%","21.0%"
"[object Object]","2025","Antonio Johnson","Jaguars","S","417","30","32.23","0.078","18.34","0.045","-10.86","-0.36","46.7%","20.5","0.6","16.7%","23.3%"
"[object Object]","2025","Alohi Gilman","2 teams","S","634","31","31.99","0.051","10.81","0.017","-6.73","-0.22","35.5%","13.5","0.4","22.6%","12.9%"
"[object Object]","2025","Nahshon Wright","Bears","CB","580","74","31.73","0.055","12.13","0.021","-4.60","-0.06","47.3%","16.5","0.5","25.7%","17.6%"
"[object Object]","2025","Jaylen Watson","Chiefs","CB","477","52","31.52","0.066","14.53","0.031","-5.09","-0.10","51.9%","18.3","0.6","19.2%","25.0%"
"[object Object]","2025","Riley Moss","Broncos","CB","674","103","30.88","0.046","8.74","0.013","6.37","0.06","41.7%","13.7","0.4","19.4%","15.5%"
"[object Object]","2025","Ja'Quan McMillian","Broncos","CB","500","55","30.79","0.062","14.35","0.029","2.50","0.05","40.0%","18.3","0.6","20.0%","21.8%"
"[object Object]","2025","Cole Bishop","Bills","S","461","23","30.04","0.066","13.46","0.030","-4.32","-0.19","52.2%","15.9","0.5","26.1%","21.7%"
"[object Object]","2025","Brandon Jones","Broncos","S","519","25","29.97","0.058","13.11","0.025","-1.69","-0.07","40.0%","15.8","0.5","20.0%","8.0%"
"[object Object]","2025","Eric Stokes","Raiders","CB","550","46","28.98","0.054","11.50","0.021","0.60","0.01","43.5%","15.5","0.5","17.4%","13.0%"
"[object Object]","2025","Jessie Bates III","Falcons","S","611","27","28.95","0.049","9.22","0.015","3.85","0.14","48.1%","12.5","0.4","22.2%","14.8%"
"[object Object]","2025","Devin Bush","Browns","LB","377","25","28.50","0.079","16.35","0.045","1.32","0.05","56.0%","17.5","0.5","12.0%","4.0%"
"[object Object]","2025","Antoine Winfield Jr.","Buccaneers","S","582","27","28.42","0.049","8.47","0.015","-6.84","-0.25","40.7%","11.6","0.4","25.9%","29.6%"
"[object Object]","2025","Jamel Dean","Buccaneers","CB","417","48","27.83","0.067","14.00","0.034","-25.74","-0.54","25.0%","17.2","0.5","12.5%","22.9%"
"[object Object]","2025","Xavier Watts","Falcons","S","619","23","27.35","0.045","7.19","0.012","9.45","0.41","56.5%","10.5","0.3","39.1%","21.7%"
"[object Object]","2025","Quinyon Mitchell","Eagles","CB","574","81","27.31","0.048","8.87","0.016","-9.39","-0.12","34.6%","13.7","0.4","14.8%","22.2%"
"[object Object]","2025","Coby Bryant","Seahawks","S","591","24","26.90","0.046","8.05","0.014","7.27","0.30","45.8%","11.3","0.3","37.5%","29.2%"
"[object Object]","2025","Robert Spillane","Patriots","LB","413","26","26.77","0.068","12.62","0.032","-7.71","-0.30","53.8%","14.5","0.4","23.1%","26.9%"
"[object Object]","2025","A.J. Terrell","Falcons","CB","547","60","26.59","0.049","8.99","0.017","-9.17","-0.15","40.0%","13.1","0.4","16.7%","16.7%"
"[object Object]","2025","Cody Barton","Titans","LB","543","30","26.37","0.053","8.98","0.018","-14.75","-0.49","33.3%","10.3","0.3","13.3%","23.3%"
"[object Object]","2025","Kam Curl","Rams","S","636","35","26.35","0.042","5.79","0.009","5.68","0.16","48.6%","9.3","0.3","25.7%","5.7%"
"[object Object]","2025","Jack Campbell","Lions","LB","566","30","26.23","0.049","8.73","0.016","-6.09","-0.20","23.3%","10.0","0.3","13.3%","13.3%"
"[object Object]","2025","Rasul Douglas","Dolphins","CB","465","63","26.11","0.056","10.13","0.022","-11.06","-0.18","36.5%","13.7","0.4","14.3%","22.2%"
"[object Object]","2025","Jalen Pitre","Texans","S","417","35","26.11","0.064","11.28","0.027","-10.92","-0.31","42.9%","13.5","0.4","17.1%","28.6%"
"[object Object]","2025","Zack Baun","Eagles","LB","528","31","25.99","0.053","9.99","0.020","-15.82","-0.51","38.7%","11.5","0.4","3.2%","16.1%"
"[object Object]","2025","Jourdan Lewis","Jaguars","CB","377","33","25.76","0.070","13.38","0.036","-8.65","-0.26","36.4%","16.4","0.5","15.2%","18.2%"
"[object Object]","2025","Carlton Davis III","Patriots","CB","531","53","25.30","0.048","6.28","0.012","0.54","0.01","39.6%","10.7","0.3","28.3%","15.1%"
"[object Object]","2025","Dee Alford","Falcons","CB","348","55","25.22","0.073","13.50","0.039","4.65","0.08","54.5%","16.2","0.5","20.0%","23.6%"
"[object Object]","2025","Riq Woolen","Seahawks","CB","530","55","25.20","0.048","7.77","0.015","-5.30","-0.10","40.0%","11.7","0.4","14.5%","14.5%"
"[object Object]","2025","Cobie Durant","Rams","CB","476","58","25.12","0.053","9.57","0.020","-13.85","-0.24","43.1%","13.2","0.4","22.4%","20.7%"
"[object Object]","2025","Foyesade Oluokun","Jaguars","LB","554","33","24.92","0.048","7.32","0.014","-10.93","-0.33","48.5%","9.1","0.3","6.1%","18.2%"
"[object Object]","2025","Christian Gonzalez","Patriots","CB","447","61","24.81","0.056","8.93","0.020","-18.03","-0.30","31.1%","12.3","0.4","13.1%","23.0%"
