"Rank","Season","Player","Team","Pos.","Pass Snaps","Pass Rushes","Points Saved","PS Per Rush","Points Above Avg","Positive%","PAR","WAR"
"[object Object]","2025","Aidan Hutchinson","Lions","DE","577","567","60.7","0.107","0.07","40.0%","50.6","1.6"
"[object Object]","2025","Will Anderson Jr.","Texans","DE","439","436","51.7","0.119","0.08","39.0%","42.6","1.3"
"[object Object]","2025","Myles Garrett","Browns","DE","474","473","47.8","0.101","0.07","43.0%","38.5","1.2"
"[object Object]","2025","Danielle Hunter","Texans","DE","467","464","42.8","0.092","0.06","38.0%","32.8","1.0"
"[object Object]","2025","Jeffery Simmons","Titans","DT","437","431","41.7","0.097","0.06","49.0%","33.2","1.0"
"[object Object]","2025","Brian Burns","Giants","LB","509","432","38.9","0.090","0.06","40.0%","30.0","0.9"
"[object Object]","2025","Chase Young","Saints","DE","300","264","36.5","0.138","0.11","34.0%","31.6","1.0"
"[object Object]","2025","Micah Parsons","Packers","DE","410","400","35.1","0.088","0.05","44.0%","27.5","0.8"
"[object Object]","2025","Josh Sweat","Cardinals","LB","353","337","32.5","0.096","0.06","48.0%","25.8","0.8"
"[object Object]","2025","Nik Bonitto","Broncos","LB","454","387","30.1","0.078","0.04","30.0%","22.1","0.7"
"[object Object]","2025","Chris Jones","Chiefs","DT","459","458","28.9","0.063","0.03","48.0%","19.6","0.6"
"[object Object]","2025","Josh Hines-Allen","Jaguars","DE","557","514","26.7","0.052","0.02","39.0%","18.4","0.6"
"[object Object]","2025","Nick Herbig","Steelers","LB","379","322","26.4","0.082","0.05","40.0%","20.6","0.6"
"[object Object]","2025","Dallas Turner","Vikings","LB","362","267","26.1","0.098","0.06","31.0%","20.3","0.6"
"[object Object]","2025","Jared Verse","Rams","LB","501","486","25.5","0.053","0.02","43.0%","15.7","0.5"
"[object Object]","2025","Laiatu Latu","Colts","DE","479","412","24.8","0.060","0.03","42.0%","18.3","0.6"
"[object Object]","2025","Yaya Diaby","Buccaneers","LB","489","419","24.5","0.059","0.02","44.0%","15.1","0.5"
"[object Object]","2025","Joey Bosa","Bills","DE","329","313","24.0","0.077","0.04","38.0%","17.6","0.5"
"[object Object]","2025","K'Lavon Chaisson","Patriots","DE","386","363","23.9","0.066","0.03","40.0%","16.0","0.5"
"[object Object]","2025","Jaelan Phillips","2 teams","LB","459","388","23.3","0.060","0.03","38.0%","15.1","0.5"
"[object Object]","2025","Zach Allen","Broncos","DE","521","515","22.2","0.043","0.01","38.0%","12.4","0.4"
"[object Object]","2025","Tuli Tuipulotu","Chargers","LB","426","383","21.9","0.057","0.02","38.0%","12.8","0.4"
"[object Object]","2025","T.J. Watt","Steelers","DE","478","423","21.9","0.052","0.02","43.0%","15.2","0.5"
"[object Object]","2025","Greg Rousseau","Bills","DE","372","349","21.8","0.062","0.03","43.0%","14.2","0.4"
"[object Object]","2025","Byron Young","Rams","LB","504","379","21.8","0.058","0.03","32.0%","14.4","0.4"
"[object Object]","2025","George Karlaftis","Chiefs","DE","442","430","20.9","0.049","0.01","48.0%","11.8","0.4"
"[object Object]","2025","Andrew Van Ginkel","Vikings","LB","286","157","20.9","0.133","0.10","20.0%","17.6","0.5"
"[object Object]","2025","Montez Sweat","Bears","DE","447","425","20.8","0.049","0.01","46.0%","12.5","0.4"
"[object Object]","2025","Jadeveon Clowney","Cowboys","DE","209","204","20.5","0.100","0.07","50.0%","16.5","0.5"
"[object Object]","2025","Abdul Carter","Giants","LB","494","464","20.0","0.043","0.01","44.0%","10.2","0.3"
"[object Object]","2025","Dre'Mont Jones","2 teams","DE","500","479","19.7","0.041","0.01","45.0%","10.5","0.3"
"[object Object]","2025","DeMarcus Lawrence","Seahawks","LB","390","370","19.6","0.053","0.02","39.0%","13.0","0.4"
"[object Object]","2025","Rashan Gary","Packers","DE","395","384","18.8","0.049","0.02","46.0%","11.7","0.4"
