"Rank","Season","Player","Team","Pos.","Snaps","Rush Snaps","Points Saved","PS Per Play","Points Above Avg","PAA Per Play","Positive%","PAR","WAR"
"[object Object]","2025","Jack Campbell","Lions","LB","1043","410","31.12","0.076","17.90","0.044","45.6%","21.0","0.7"
"[object Object]","2025","Maxx Crosby","Raiders","DE","889","399","30.05","0.075","17.38","0.044","47.4%","21.6","0.7"
"[object Object]","2025","Jordyn Brooks","Dolphins","LB","941","405","27.55","0.068","14.06","0.035","46.4%","17.2","0.5"
"[object Object]","2025","Cedric Gray","Titans","LB","880","377","27.45","0.073","15.15","0.040","45.9%","18.0","0.6"
"[object Object]","2025","Tyson Campbell","2 teams","CB","932","362","23.82","0.066","11.98","0.033","43.1%","11.5","0.4"
"[object Object]","2025","Carson Schwesinger","Browns","LB","918","408","23.44","0.057","9.70","0.024","40.9%","12.8","0.4"
"[object Object]","2025","Kevin Byard III","Bears","S","1023","428","22.62","0.053","8.16","0.019","47.9%","7.4","0.2"
"[object Object]","2025","Jordan Battle","Bengals","S","1006","423","22.41","0.053","8.92","0.021","51.1%","8.2","0.3"
"[object Object]","2025","Nahshon Wright","Bears","CB","996","416","22.40","0.054","8.39","0.020","48.3%","7.8","0.2"
"[object Object]","2025","Talanoa Hufanga","Broncos","S","1023","354","22.13","0.063","10.66","0.030","41.8%","10.0","0.3"
"[object Object]","2025","Devin Bush","Browns","LB","842","422","21.76","0.052","7.85","0.019","42.4%","11.0","0.3"
"[object Object]","2025","Blake Cashman","Vikings","LB","758","366","21.12","0.058","8.95","0.024","48.1%","11.8","0.4"
"[object Object]","2025","Byron Murphy Jr.","Vikings","CB","1002","484","20.85","0.043","4.62","0.010","49.0%","4.0","0.1"
"[object Object]","2025","Bobby Wagner","Commanders","LB","1080","462","20.79","0.045","6.42","0.014","51.3%","9.9","0.3"
"[object Object]","2025","Jeffery Simmons","Titans","DT","727","283","20.46","0.072","11.02","0.039","49.8%","13.8","0.4"
"[object Object]","2025","Byron Young","Rams","LB","813","309","20.26","0.066","10.42","0.034","43.0%","12.8","0.4"
"[object Object]","2025","Jamien Sherwood","Jets","LB","1061","493","19.75","0.040","4.77","0.010","45.2%","8.4","0.3"
"[object Object]","2025","Dane Belton","Giants","S","666","241","19.70","0.082","11.75","0.049","54.8%","11.3","0.4"
"[object Object]","2025","Cameron Heyward","Steelers","DT","785","307","19.31","0.063","9.71","0.032","47.9%","12.8","0.4"
"[object Object]","2025","Brandon Stephens","Jets","CB","1001","455","19.30","0.042","5.27","0.012","43.7%","4.7","0.1"
"[object Object]","2025","Jeremy Chinn","Raiders","S","946","429","19.06","0.044","5.62","0.013","46.2%","4.8","0.1"
"[object Object]","2025","Kamari Lassiter","Texans","CB","905","332","18.57","0.056","7.00","0.021","41.3%","6.6","0.2"
"[object Object]","2025","Jonathan Allen","Vikings","DT","778","382","18.49","0.048","5.72","0.015","48.7%","9.5","0.3"
"[object Object]","2025","Reed Blankenship","Eagles","S","971","391","18.45","0.047","6.18","0.016","49.1%","5.5","0.2"
"[object Object]","2025","Demario Davis","Saints","LB","1036","478","18.38","0.038","3.16","0.007","45.2%","6.8","0.2"
"[object Object]","2025","Tommy Togiai","Texans","DT","442","206","18.33","0.089","11.05","0.054","37.9%","13.1","0.4"
"[object Object]","2025","Malachi Moore","Jets","S","906","414","18.01","0.044","5.67","0.014","46.1%","4.9","0.2"
"[object Object]","2025","Xavier McKinney","Packers","S","997","417","17.98","0.043","4.52","0.011","49.4%","3.7","0.1"
"[object Object]","2025","Germaine Pratt","2 teams","LB","876","383","17.88","0.047","6.13","0.016","44.1%","9.1","0.3"
"[object Object]","2025","Derrick Brown","Panthers","DT","782","346","17.59","0.051","6.23","0.018","45.4%","9.6","0.3"
