"Rank","Season","Player","Team","Games","Dropbacks","Att","Comp","Catchable","On-Tgt","Yds","Air Yards","Intended Air Yards","TDs","Ints","Sacks","Pressures"
"[object Object]","2025","Matthew Stafford","Rams","17","627","597","388","487","400","4707","2793","5143","46","8","23","206"
"[object Object]","2025","Jared Goff","Lions","17","621","578","393","451","405","4564","2091","3657","34","8","38","227"
"[object Object]","2025","Dak Prescott","Cowboys","17","657","600","404","497","435","4552","2504","4661","30","10","31","251"
"[object Object]","2025","Drake Maye","Patriots","17","601","492","354","404","342","4394","2582","4211","31","8","47","228"
"[object Object]","2025","Sam Darnold","Seahawks","17","518","477","323","377","336","4048","2221","3615","25","14","27","185"
"[object Object]","2025","Trevor Lawrence","Jaguars","17","642","560","341","445","367","4007","2285","4759","29","12","41","241"
"[object Object]","2025","Caleb Williams","Bears","17","635","568","330","424","339","3942","2010","4247","27","7","24","230"
"[object Object]","2025","Bo Nix","Broncos","17","668","612","388","488","408","3931","1808","4355","25","11","22","232"
"[object Object]","2025","Justin Herbert","Chargers","16","615","512","340","415","366","3727","2038","3828","26","13","54","260"
"[object Object]","2025","Baker Mayfield","Buccaneers","17","622","543","343","442","363","3693","1745","4231","26","11","36","218"
"[object Object]","2025","Josh Allen","Bills","16","550","460","319","388","342","3668","1643","3159","25","10","40","187"
"[object Object]","2025","Patrick Mahomes","Chiefs","14","589","502","315","388","334","3587","1643","3743","22","11","34","227"
"[object Object]","2025","Jordan Love","Packers","15","484","439","291","355","305","3381","1829","3604","23","6","21","175"
"[object Object]","2025","Jacoby Brissett","Cardinals","13","550","485","315","388","326","3366","1764","3464","23","8","43","237"
"[object Object]","2025","Aaron Rodgers","Steelers","16","539","498","327","395","337","3322","1128","2786","24","7","29","144"
"[object Object]","2025","Jalen Hurts","Eagles","16","525","454","294","361","301","3224","1948","3827","25","6","32","204"
"[object Object]","2025","Cam Ward","Titans","17","618","540","323","403","324","3169","1566","3672","15","7","55","253"
"[object Object]","2025","Daniel Jones","Colts","13","428","384","261","322","275","3101","1689","2984","19","8","22","157"
"[object Object]","2025","C.J. Stroud","Texans","14","472","423","273","320","274","3041","1628","3207","19","8","23","179"
"[object Object]","2025","Geno Smith","Raiders","15","521","448","302","365","315","3026","1288","2763","19","17","55","192"
"[object Object]","2025","Bryce Young","Panthers","16","538","478","304","372","305","3011","1454","2856","23","11","27","218"
"[object Object]","2025","Tua Tagovailoa","Dolphins","14","425","384","260","316","259","2660","1220","2484","20","15","30","134"
"[object Object]","2025","Lamar Jackson","Ravens","13","369","302","192","233","184","2549","1436","2523","21","7","36","159"
"[object Object]","2025","Joe Flacco","2 teams","12","438","416","251","324","267","2479","1284","2775","15","10","18","164"
