"Rank","Season","Player","Team","Att","Points Earned","PE Per Play","Points Above Avg","PAA Per Play","EPA","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2025","Bo Nix","Broncos","612","135.87","0.214","61.94","0.098","35.56","45.6%","105.6","3.3","18.9%","14.7%"
"[object Object]","2025","Matthew Stafford","Rams","597","129.26","0.208","55.99","0.090","123.27","54.7%","98.5","3.0","25.5%","13.4%"
"[object Object]","2025","Caleb Williams","Bears","568","114.62","0.194","45.63","0.077","43.48","44.9%","86.2","2.7","22.8%","13.5%"
"[object Object]","2025","Jared Goff","Lions","578","112.62","0.183","38.96","0.063","85.43","50.2%","81.2","2.5","23.2%","15.7%"
"[object Object]","2025","Patrick Mahomes","Chiefs","502","107.25","0.200","45.90","0.086","43.54","48.1%","82.3","2.5","22.0%","14.6%"
"[object Object]","2025","Jordan Love","Packers","439","99.40","0.216","42.92","0.093","76.40","50.4%","74.4","2.3","22.2%","14.1%"
"[object Object]","2025","Dak Prescott","Cowboys","600","91.03","0.144","19.71","0.031","72.82","49.3%","63.0","1.9","22.0%","14.7%"
"[object Object]","2025","Jalen Hurts","Eagles","454","88.31","0.182","26.44","0.054","10.28","45.3%","59.6","1.8","18.1%","15.8%"
"[object Object]","2025","C.J. Stroud","Texans","423","85.71","0.192","32.99","0.074","30.64","46.9%","63.5","2.0","20.2%","16.8%"
"[object Object]","2025","Drake Maye","Patriots","492","83.53","0.155","18.25","0.034","131.02","56.0%","55.3","1.7","25.8%","14.3%"
"[object Object]","2025","Bryce Young","Panthers","478","79.57","0.158","16.00","0.032","-24.59","45.0%","50.6","1.6","17.4%","16.4%"
"[object Object]","2025","Trevor Lawrence","Jaguars","560","72.94","0.121","3.40","0.006","5.51","47.9%","44.4","1.4","21.1%","15.6%"
"[object Object]","2025","Jacoby Brissett","Cardinals","485","69.66","0.132","7.96","0.015","-14.69","47.3%","44.3","1.4","17.2%","17.0%"
"[object Object]","2025","Josh Allen","Bills","460","65.92","0.132","6.24","0.012","34.19","49.4%","40.6","1.3","22.2%","18.6%"
"[object Object]","2025","Brock Purdy","49ers","284","63.72","0.216","27.77","0.094","47.37","54.6%","48.1","1.5","28.5%","14.2%"
"[object Object]","2025","Joe Flacco","2 teams","416","60.88","0.140","11.02","0.025","-47.70","43.1%","40.6","1.3","15.9%","18.2%"
"[object Object]","2025","Daniel Jones","Colts","384","57.20","0.141","6.59","0.016","54.29","53.9%","34.3","1.1","22.9%","13.1%"
"[object Object]","2025","Sam Darnold","Seahawks","477","56.56","0.112","-6.49","-0.013","39.21","52.6%","27.9","0.9","24.4%","15.9%"
"[object Object]","2025","Justin Herbert","Chargers","512","51.90","0.092","-14.01","-0.025","8.96","48.4%","24.7","0.8","19.3%","19.3%"
"[object Object]","2025","Tyler Shough","Saints","327","51.85","0.145","10.30","0.029","3.32","46.6%","34.6","1.1","19.3%","14.8%"
"[object Object]","2025","Mac Jones","49ers","289","51.01","0.167","15.12","0.050","37.70","55.7%","35.9","1.1","19.3%","14.8%"
"[object Object]","2025","Baker Mayfield","Buccaneers","543","50.06","0.086","-19.24","-0.033","-17.07","44.7%","20.5","0.6","20.2%","18.5%"
"[object Object]","2025","Aaron Rodgers","Steelers","498","49.52","0.094","-18.72","-0.036","-1.67","43.6%","17.2","0.5","17.6%","15.2%"
"[object Object]","2025","Jaxson Dart","Giants","339","47.95","0.128","3.16","0.008","-21.67","42.5%","28.7","0.9","17.9%","17.1%"
"[object Object]","2025","Tua Tagovailoa","Dolphins","384","44.01","0.106","-11.42","-0.028","-12.40","46.4%","16.6","0.5","22.2%","18.8%"
"[object Object]","2025","Spencer Rattler","Saints","257","40.72","0.148","8.57","0.031","-26.49","43.6%","27.1","0.8","13.5%","17.1%"
"[object Object]","2025","Michael Penix Jr.","Falcons","276","40.18","0.139","5.24","0.018","2.17","48.1%","25.2","0.8","20.8%","18.7%"
"[object Object]","2025","Lamar Jackson","Ravens","302","38.59","0.114","-6.33","-0.019","-4.41","47.6%","16.7","0.5","22.5%","21.0%"
"[object Object]","2025","Joe Burrow","Bengals","259","38.58","0.140","6.83","0.025","17.19","51.4%","25.7","0.8","25.0%","15.2%"
"[object Object]","2025","Kirk Cousins","Falcons","269","38.57","0.137","3.96","0.014","-3.07","43.3%","23.2","0.7","20.2%","16.0%"
"[object Object]","2025","Kyler Murray","Cardinals","161","32.91","0.186","10.83","0.061","0.86","45.8%","23.0","0.7","17.5%","16.9%"
"[object Object]","2025","Jayden Daniels","Commanders","188","31.96","0.155","6.60","0.032","0.10","44.7%","20.6","0.6","20.9%","20.9%"
"[object Object]","2025","Cam Ward","Titans","540","26.48","0.045","-48.66","-0.082","-120.68","38.7%","-8.1","-0.3","15.1%","22.0%"
"[object Object]","2025","Tyrod Taylor","Jets","134","21.74","0.147","3.12","0.021","-15.34","43.9%","13.3","0.4","16.9%","19.6%"
"[object Object]","2025","Marcus Mariota","Commanders","227","21.04","0.087","-9.33","-0.038","-4.69","47.3%","7.1","0.2","22.6%","18.1%"
"[object Object]","2025","Davis Mills","Texans","159","17.86","0.107","-1.08","-0.006","-9.39","43.7%","10.4","0.3","16.2%","16.2%"
"[object Object]","2025","Philip Rivers","Colts","92","16.47","0.170","3.63","0.037","-10.17","45.4%","10.3","0.3","18.6%","18.6%"
"[object Object]","2025","Cooper Rush","Ravens","52","13.49","0.255","5.77","0.109","-21.93","41.5%","9.4","0.3","17.0%","30.2%"
"[object Object]","2025","Justin Fields","Jets","204","13.34","0.058","-15.17","-0.066","-24.08","40.7%","0.6","0.0","14.3%","19.0%"
"[object Object]","2025","Carson Wentz","Vikings","169","11.59","0.062","-11.41","-0.061","-2.08","47.3%","1.5","0.0","20.2%","17.0%"
"[object Object]","2025","Tyler Huntley","Ravens","67","10.74","0.143","2.18","0.029","8.02","46.7%","7.3","0.2","22.7%","13.3%"
"[object Object]","2025","Riley Leonard","Colts","67","9.43","0.137","1.45","0.021","-11.70","33.3%","6.1","0.2","18.8%","15.9%"
"[object Object]","2025","Russell Wilson","Giants","119","7.74","0.060","-7.62","-0.059","-11.83","41.1%","1.3","0.0","15.5%","18.6%"
"[object Object]","2025","Josh Johnson","Commanders","54","6.65","0.119","-1.57","-0.028","0.82","50.0%","2.2","0.1","19.6%","17.9%"
