"Rank","Season","Player","Team","Att","Comp%","Catchable%","On-Tgt%","Y/A","ANY/A","Y/G","TD%","Int%","Sack%","Rating","IQR","Avg Throw Depth","Pressure%"
"[object Object]","2025","Jared Goff","Lions","578","68.0%","84.9%","76.3%","7.9","7.5","268.5","5.9%","1.4%","6.1%","105.5","112.6","6.8","36.7%"
"[object Object]","2025","Drake Maye","Patriots","492","72.0%","88.0%","74.5%","8.9","8.3","258.5","6.3%","1.6%","7.8%","113.5","111.3","9.0","37.9%"
"[object Object]","2025","Matthew Stafford","Rams","597","65.0%","87.7%","72.1%","7.9","8.3","276.9","7.7%","1.3%","3.7%","109.2","109.2","9.0","33.0%"
"[object Object]","2025","Jordan Love","Packers","439","66.3%","89.0%","76.4%","7.7","7.4","225.4","5.2%","1.4%","4.3%","101.2","106.0","8.9","36.2%"
"[object Object]","2025","Josh Allen","Bills","460","69.3%","90.0%","79.4%","8.0","6.8","229.3","5.4%","2.2%","7.3%","102.2","105.1","7.2","34.1%"
"[object Object]","2025","Lamar Jackson","Ravens","302","63.6%","83.5%","65.9%","8.4","7.2","196.1","7.0%","2.3%","9.8%","103.8","104.8","8.9","43.3%"
"[object Object]","2025","Joe Burrow","Bengals","259","66.8%","89.6%","79.7%","7.0","6.6","226.1","6.6%","1.9%","6.0%","100.7","104.2","7.3","35.9%"
"[object Object]","2025","Jalen Hurts","Eagles","454","64.8%","86.8%","72.4%","7.1","6.8","201.5","5.5%","1.3%","6.1%","98.5","103.9","9.0","39.0%"
"[object Object]","2025","Tyler Huntley","Ravens","67","77.6%","92.3%","78.5%","6.2","5.5","103.5","3.0%","0.0%","9.8%","102.4","103.5","6.1","44.4%"
"[object Object]","2025","Jayden Daniels","Commanders","188","60.6%","84.8%","70.2%","6.7","5.9","180.3","4.3%","1.6%","7.4%","88.1","102.8","7.5","44.2%"
"[object Object]","2025","Brock Purdy","49ers","284","69.4%","89.7%","74.0%","7.6","7.1","240.8","7.0%","3.5%","3.5%","100.5","102.2","7.5","39.3%"
"[object Object]","2025","Sam Darnold","Seahawks","477","67.7%","87.1%","77.6%","8.5","7.4","238.1","5.2%","2.9%","5.2%","99.1","101.9","8.1","36.0%"
"[object Object]","2025","Mac Jones","49ers","289","69.6%","91.2%","78.6%","7.4","6.7","268.9","4.5%","2.1%","5.1%","97.4","98.6","7.3","31.3%"
"[object Object]","2025","Daniel Jones","Colts","384","68.0%","89.0%","76.0%","8.1","7.2","238.5","4.9%","2.1%","5.1%","100.2","98.4","8.1","36.9%"
"[object Object]","2025","Aaron Rodgers","Steelers","498","65.7%","85.9%","73.3%","6.7","6.6","207.6","4.8%","1.4%","5.4%","94.8","96.4","5.9","26.8%"
"[object Object]","2025","Justin Herbert","Chargers","512","66.4%","86.5%","76.3%","7.3","5.9","232.9","5.1%","2.5%","8.8%","94.1","95.8","7.8","42.3%"
"[object Object]","2025","Trevor Lawrence","Jaguars","560","60.9%","85.9%","70.8%","7.2","6.3","235.7","5.2%","2.1%","6.4%","91.0","95.7","8.9","37.7%"
"[object Object]","2025","Jacoby Brissett","Cardinals","485","64.9%","87.6%","73.6%","6.9","6.0","258.9","4.7%","1.6%","7.8%","94.1","95.1","7.6","43.2%"
"[object Object]","2025","Dak Prescott","Cowboys","600","67.3%","87.3%","76.4%","7.6","7.1","267.8","5.0%","1.7%","4.7%","99.5","95.0","8.0","38.4%"
"[object Object]","2025","Tyler Shough","Saints","327","67.6%","87.2%","73.4%","7.3","5.9","216.7","3.1%","1.8%","8.2%","91.3","94.5","8.3","34.1%"
"[object Object]","2025","Justin Fields","Jets","204","62.7%","87.0%","71.7%","6.2","5.0","139.9","3.4%","0.5%","10.4%","89.5","94.5","6.9","45.9%"
"[object Object]","2025","C.J. Stroud","Texans","423","64.5%","82.7%","70.8%","7.2","6.4","217.2","4.5%","1.9%","4.9%","92.9","94.4","8.0","38.2%"
"[object Object]","2025","Bryce Young","Panthers","478","63.6%","88.4%","72.4%","6.3","5.4","188.2","4.8%","2.3%","5.0%","87.8","94.1","6.6","40.7%"
"[object Object]","2025","Patrick Mahomes","Chiefs","502","62.7%","84.7%","72.9%","7.1","6.3","256.2","4.4%","2.2%","5.8%","89.6","92.6","7.9","38.7%"
"[object Object]","2025","Kyler Murray","Cardinals","161","68.3%","90.9%","81.8%","6.0","4.7","192.4","3.7%","1.9%","8.3%","88.6","92.5","6.2","31.6%"
"[object Object]","2025","Caleb Williams","Bears","568","58.1%","83.6%","66.9%","6.9","6.8","231.9","4.8%","1.2%","3.8%","90.1","92.4","8.3","36.3%"
"[object Object]","2025","Marcus Mariota","Commanders","227","61.2%","84.9%","72.2%","7.5","6.1","169.5","4.4%","3.1%","6.1%","86.1","91.9","9.9","37.8%"
"[object Object]","2025","Bo Nix","Broncos","612","63.4%","85.9%","71.8%","6.4","6.0","231.2","4.1%","1.8%","3.3%","87.8","91.4","7.5","34.8%"
"[object Object]","2025","Jaxson Dart","Giants","339","63.7%","85.8%","71.8%","6.7","5.9","174.8","4.4%","1.5%","8.5%","91.7","88.0","8.2","40.3%"
"[object Object]","2025","Kirk Cousins","Falcons","269","61.7%","89.5%","78.1%","6.4","5.7","172.1","3.7%","1.9%","4.6%","84.8","87.7","6.9","37.7%"
"[object Object]","2025","Baker Mayfield","Buccaneers","543","63.2%","86.7%","71.2%","6.8","6.0","217.2","4.8%","2.0%","5.8%","90.6","85.5","8.1","35.1%"
"[object Object]","2025","Carson Wentz","Vikings","169","65.1%","82.5%","66.9%","7.2","5.2","243.2","3.6%","3.0%","9.6%","85.8","83.2","8.1","39.8%"
"[object Object]","2025","Tua Tagovailoa","Dolphins","384","67.7%","89.0%","73.0%","6.9","5.3","190.0","5.2%","3.9%","7.1%","88.5","82.3","6.8","31.7%"
"[object Object]","2025","Geno Smith","Raiders","448","67.4%","88.0%","75.9%","6.8","4.4","201.7","4.2%","3.8%","10.6%","84.7","82.2","6.6","37.0%"
"[object Object]","2025","Michael Penix Jr.","Falcons","276","60.1%","80.9%","67.3%","7.2","6.6","220.2","3.3%","1.1%","4.3%","88.5","82.2","8.7","33.4%"
"[object Object]","2025","Davis Mills","Texans","159","57.2%","84.1%","65.5%","5.8","5.4","152.5","3.1%","0.6%","4.6%","81.6","82.1","8.4","33.9%"
"[object Object]","2025","Joe Flacco","2 teams","416","60.3%","86.4%","71.2%","6.0","5.1","206.6","3.6%","2.4%","4.1%","79.2","81.8","7.2","37.8%"
"[object Object]","2025","Russell Wilson","Giants","119","58.0%","82.2%","66.3%","7.0","5.3","138.5","2.5%","2.5%","7.1%","77.4","81.7","9.3","38.3%"
"[object Object]","2025","Cam Ward","Titans","540","59.8%","83.8%","67.4%","5.9","4.6","186.4","2.8%","1.3%","8.9%","80.2","81.4","7.4","41.1%"
"[object Object]","2025","Spencer Rattler","Saints","257","67.7%","89.7%","77.7%","6.2","5.2","176.2","3.1%","1.9%","6.2%","86.5","80.0","7.8","41.5%"
"[object Object]","2025","Chris Oladokun","Chiefs","55","63.6%","87.8%","73.5%","4.3","2.6","78.3","1.8%","0.0%","11.9%","79.0","79.5","5.0","51.5%"
"[object Object]","2025","Mason Rudolph","Steelers","52","73.1%","87.5%","79.2%","6.0","4.6","77.5","3.8%","3.8%","3.6%","84.6","79.3","5.1","23.6%"
"[object Object]","2025","Philip Rivers","Colts","92","63.0%","85.2%","69.3%","5.9","4.7","181.3","4.3%","3.3%","5.2%","80.2","79.2","7.6","29.9%"
"[object Object]","2025","Tyrod Taylor","Jets","134","59.7%","86.8%","71.9%","5.8","4.0","129.8","3.7%","3.7%","8.2%","72.9","79.2","9.1","46.2%"
"[object Object]","2025","Quinn Ewers","Dolphins","83","66.3%","83.3%","73.1%","7.5","5.4","155.5","3.6%","3.6%","8.5%","85.5","73.8","8.0","40.4%"
"[object Object]","2025","J.J. McCarthy","Vikings","243","57.6%","79.3%","63.0%","6.7","4.3","163.2","4.5%","4.9%","9.4%","72.6","72.5","9.0","41.1%"
"[object Object]","2025","Dillon Gabriel","Browns","185","59.5%","81.2%","65.9%","5.1","4.2","93.7","3.8%","1.1%","8.8%","80.8","69.6","6.0","41.6%"
"[object Object]","2025","Jake Browning","Bengals","125","64.8%","82.9%","72.6%","6.2","3.5","154.2","4.8%","6.4%","6.5%","71.1","68.3","7.6","48.6%"
"[object Object]","2025","Josh Johnson","Commanders","54","63.0%","85.4%","77.1%","6.9","5.1","124.0","1.9%","3.7%","3.1%","74.0","63.9","6.2","41.9%"
"[object Object]","2025","Shedeur Sanders","Browns","212","56.6%","83.2%","70.7%","6.6","3.9","175.0","3.3%","4.7%","9.1%","68.1","61.9","7.2","54.2%"
"[object Object]","2025","Jameis Winston","Giants","66","56.1%","85.0%","60.0%","8.6","7.3","189.0","3.0%","3.0%","4.3%","82.1","61.2","9.3","41.4%"
"[object Object]","2025","Riley Leonard","Colts","67","58.2%","86.9%","70.5%","6.2","4.4","83.0","3.0%","4.5%","2.8%","67.7","55.3","8.0","45.8%"
"[object Object]","2025","Cooper Rush","Ravens","52","65.4%","85.4%","75.0%","5.8","2.0","101.0","0.0%","7.7%","1.9%","48.8","52.1","6.5","41.5%"
"[object Object]","2025","Brady Cook","Jets","153","57.5%","86.7%","66.4%","4.8","2.0","147.8","1.3%","4.6%","10.6%","55.4","46.2","5.8","34.1%"
"[object Object]","2025","Max Brosmer","Vikings","71","66.2%","88.1%","64.2%","4.6","0.6","54.7","0.0%","5.6%","16.1%","53.0","44.5","4.5","47.1%"
"[object Object]","2025","Trey Lance","Chargers","57","47.4%","78.7%","61.7%","4.0","2.2","56.5","0.0%","1.8%","8.6%","50.8","28.4","8.7","43.9%"
