"Rank","Season","Player","Team","Games","Dropbacks","Att","Comp","Catchable","On-Tgt","Yds","Air Yards","Intended Air Yards","TDs","Ints","Sacks","Pressures"
"[object Object]","2026","Tyler Shough","Saints","2","102","90","62","70","59","662","422","624","4","2","8","35"
"[object Object]","2026","Bryce Young","Panthers","2","80","73","46","51","45","648","391","612","6","1","4","29"
"[object Object]","2026","C.J. Stroud","Texans","2","104","93","56","70","62","627","364","736","2","0","7","38"
"[object Object]","2026","Josh Allen","Bills","2","70","60","40","49","43","582","363","587","5","0","4","21"
"[object Object]","2026","Patrick Mahomes","Chiefs","2","84","74","47","56","51","566","180","376","5","1","4","19"
"[object Object]","2026","Lamar Jackson","Ravens","2","68","56","38","41","36","559","298","530","2","1","5","27"
"[object Object]","2026","Jared Goff","Lions","2","85","77","52","60","56","533","310","561","6","0","5","30"
"[object Object]","2026","Jordan Love","Packers","2","78","71","37","54","42","532","273","639","4","1","7","32"
"[object Object]","2026","Brock Purdy","49ers","2","61","56","45","52","46","492","254","314","5","1","0","11"
"[object Object]","2026","Matthew Stafford","Rams","2","58","56","37","44","39","482","268","558","4","2","1","13"
"[object Object]","2026","Jalen Hurts","Eagles","2","75","62","40","45","38","467","336","516","5","2","6","29"
"[object Object]","2026","Geno Smith","Jets","2","75","65","46","56","44","462","218","409","1","0","4","25"
"[object Object]","2026","Joe Burrow","Bengals","2","73","66","45","56","53","461","250","418","3","1","6","19"
"[object Object]","2026","Dak Prescott","Cowboys","2","72","65","48","54","46","454","274","484","6","1","2","22"
"[object Object]","2026","Deshaun Watson","Browns","2","65","52","40","45","38","443","185","337","3","1","7","25"
"[object Object]","2026","Trevor Lawrence","Jaguars","2","56","52","35","42","36","434","338","514","4","1","3","20"
"[object Object]","2026","Drew Lock","Seahawks","2","51","48","35","41","37","422","184","341","4","0","2","19"
"[object Object]","2026","Bo Nix","Broncos","2","64","59","39","47","40","419","237","389","2","2","4","22"
"[object Object]","2026","Malik Willis","Dolphins","2","65","50","29","38","30","417","206","481","1","1","9","30"
"[object Object]","2026","Kirk Cousins","Raiders","2","63","59","40","49","44","413","257","494","6","3","2","21"
"[object Object]","2026","Aaron Rodgers","Steelers","2","86","79","47","57","49","408","151","542","1","1","6","34"
"[object Object]","2026","Caleb Williams","Bears","2","70","55","36","42","39","407","202","362","2","1","5","29"
"[object Object]","2026","Justin Herbert","Chargers","2","66","54","32","40","34","401","217","540","2","3","6","24"
"[object Object]","2026","Baker Mayfield","Buccaneers","2","76","62","44","51","44","398","151","526","1","1","7","34"
"[object Object]","2026","Drake Maye","Patriots","2","69","55","37","44","37","386","205","404","1","4","6","28"
"[object Object]","2026","Daniel Jones","Colts","2","67","62","41","50","47","376","192","336","2","2","2","23"
"[object Object]","2026","Jacoby Brissett","Cardinals","2","70","65","44","54","46","372","217","379","2","1","3","23"
"[object Object]","2026","Cam Ward","Titans","2","63","52","32","37","36","323","143","286","1","0","5","23"
"[object Object]","2026","Carson Wentz","Vikings","2","47","39","23","30","21","276","165","288","3","0","6","15"
"[object Object]","2026","Jayden Daniels","Commanders","2","61","51","29","38","30","260","143","409","3","0","1","28"
"[object Object]","2026","Jaxson Dart","Giants","2","39","34","26","30","26","250","156","278","3","0","2","12"
"[object Object]","2026","Cooper Rush","Falcons","2","46","39","22","25","20","229","56","188","1","4","5","13"
"[object Object]","2026","Marcus Mariota","Commanders","1","17","16","11","14","11","111","73","183","1","0","0","6"
"[object Object]","2026","Jameis Winston","Giants","1","29","27","11","18","17","111","60","282","0","1","2","13"
"[object Object]","2026","Jack Strand","Falcons","1","19","15","8","13","10","59","6","36","0","1","2","6"
"[object Object]","2026","Tyson Bagent","Bears","1","10","9","5","6","3","54","45","69","0","0","1","4"
"[object Object]","2026","Kyler Murray","Vikings","1","7","5","3","3","2","18","1","31","0","1","0","3"
"[object Object]","2026","Stetson Bennett IV","Rams","1","4","3","2","3","2","13","9","22","0","0","0","2"
"[object Object]","2026","Sam Darnold","Seahawks","1","3","2","1","1","1","13","11","16","0","0","1","1"
"[object Object]","2026","Dyami Brown","Commanders","1","1","1","1","1","1","0","-5","-5","0","0","0","0"
"[object Object]","2026","Antonio Williams","Commanders","1","1","1","0","1","0","0","0","23","0","0","0","0"
"[object Object]","2026","Kenny Pickett","Panthers","1","2","1","0","0","0","0","0","2","0","0","0","1"
"[object Object]","2026","Mason Rudolph","Steelers","1","2","1","0","1","1","0","0","7","0","0","0","1"
"[object Object]","2026","Cameron Johnston","Steelers","1","1","1","0","0","0","0","0","0","0","0","0","1"
"[object Object]","2026","Kai Kroeger","Texans","1","1","1","0","0","0","0","0","0","0","0","0","0"
