"Rank","Season","Player","Team","Att","Points Earned","PE Per Play","Points Above Avg","PAA Per Play","EPA","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2026","Jayden Daniels","Commanders","51","23.78","0.457","17.85","0.343","5.06","40.4%","0.0","0.0","19.2%","9.6%"
"[object Object]","2026","Dak Prescott","Cowboys","65","22.28","0.333","12.77","0.191","21.54","59.7%","0.0","0.0","23.9%","10.4%"
"[object Object]","2026","Jared Goff","Lions","77","20.14","0.246","10.79","0.132","16.48","54.9%","0.0","0.0","23.2%","12.2%"
"[object Object]","2026","Brock Purdy","49ers","56","19.05","0.340","11.57","0.207","28.25","67.9%","0.0","0.0","37.5%","7.1%"
"[object Object]","2026","Drew Lock","Seahawks","48","14.66","0.293","7.93","0.159","18.80","48.0%","0.0","0.0","26.0%","16.0%"
"[object Object]","2026","Josh Allen","Bills","60","14.30","0.223","6.11","0.095","21.74","50.0%","0.0","0.0","21.9%","9.4%"
"[object Object]","2026","Geno Smith","Jets","65","13.47","0.195","5.90","0.086","7.65","47.8%","0.0","0.0","14.5%","11.6%"
"[object Object]","2026","Caleb Williams","Bears","55","13.37","0.223","6.83","0.114","8.62","41.7%","0.0","0.0","25.0%","11.7%"
"[object Object]","2026","Kirk Cousins","Raiders","59","13.18","0.216","5.95","0.098","3.86","44.3%","0.0","0.0","27.9%","16.4%"
"[object Object]","2026","Bryce Young","Panthers","73","12.88","0.167","3.25","0.042","13.60","50.6%","0.0","0.0","26.0%","14.3%"
"[object Object]","2026","Patrick Mahomes","Chiefs","74","12.36","0.158","4.27","0.055","12.14","53.8%","0.0","0.0","24.4%","12.8%"
"[object Object]","2026","Matthew Stafford","Rams","56","11.56","0.203","4.27","0.075","6.64","50.9%","0.0","0.0","24.6%","19.3%"
"[object Object]","2026","Jalen Hurts","Eagles","62","11.16","0.164","2.89","0.043","0.93","47.1%","0.0","0.0","22.1%","23.5%"
"[object Object]","2026","Joe Burrow","Bengals","66","11.02","0.153","2.27","0.031","-3.23","43.1%","0.0","0.0","19.4%","18.1%"
"[object Object]","2026","Cam Ward","Titans","52","10.86","0.191","2.12","0.037","-6.48","40.4%","0.0","0.0","14.0%","17.5%"
"[object Object]","2026","Jacoby Brissett","Cardinals","65","8.91","0.131","0.01","0.000","2.85","51.5%","0.0","0.0","19.1%","14.7%"
"[object Object]","2026","Malik Willis","Dolphins","50","8.77","0.149","0.21","0.004","-5.66","39.0%","0.0","0.0","20.3%","23.7%"
"[object Object]","2026","Jaxson Dart","Giants","34","8.33","0.232","4.16","0.116","17.90","66.7%","0.0","0.0","33.3%","8.3%"
"[object Object]","2026","Tyler Shough","Saints","90","7.47","0.076","-2.26","-0.023","6.22","45.9%","0.0","0.0","23.5%","14.3%"
"[object Object]","2026","Lamar Jackson","Ravens","56","6.67","0.109","-0.92","-0.015","12.37","57.4%","0.0","0.0","26.2%","16.4%"
"[object Object]","2026","Marcus Mariota","Commanders","16","5.69","0.356","3.87","0.242","1.85","62.5%","0.0","0.0","31.3%","6.3%"
"[object Object]","2026","Bo Nix","Broncos","59","5.60","0.089","-3.60","-0.057","-7.67","38.1%","0.0","0.0","20.6%","15.9%"
"[object Object]","2026","Trevor Lawrence","Jaguars","52","5.53","0.101","-2.04","-0.037","8.86","52.7%","0.0","0.0","20.0%","16.4%"
"[object Object]","2026","Drake Maye","Patriots","55","4.23","0.069","-3.47","-0.057","-7.90","42.6%","0.0","0.0","23.0%","19.7%"
