"Rank","Season","Player","Team","Att","Comp%","Catchable%","On-Tgt%","Y/A","ANY/A","Y/G","TD%","Int%","Sack%","Rating","IQR","Avg Throw Depth","Pressure%"
"[object Object]","2026","Brock Purdy","49ers","56","80.4%","94.5%","83.6%","8.8","9.8","246.0","8.9%","1.8%","0.0%","125.6","126.7","5.7","18.0%"
"[object Object]","2026","Bryce Young","Panthers","73","63.0%","81.0%","71.4%","8.9","9.1","324.0","8.2%","1.4%","5.0%","113.3","125.1","9.6","36.3%"
"[object Object]","2026","Josh Allen","Bills","60","66.7%","87.5%","76.8%","9.7","10.4","291.0","8.3%","0.0%","5.7%","125.8","121.8","9.9","30.0%"
"[object Object]","2026","Drew Lock","Seahawks","48","72.9%","87.2%","78.7%","8.8","9.6","211.0","8.3%","0.0%","3.9%","127.3","119.2","7.1","37.3%"
"[object Object]","2026","Dak Prescott","Cowboys","65","73.8%","93.1%","79.3%","7.0","7.7","227.0","9.2%","1.5%","2.8%","117.1","116.9","7.9","30.6%"
"[object Object]","2026","Jaxson Dart","Giants","34","76.5%","90.9%","78.8%","7.4","8.8","125.0","8.8%","0.0%","5.1%","125.9","116.5","8.4","30.8%"
"[object Object]","2026","Jayden Daniels","Commanders","51","56.9%","90.5%","71.4%","5.1","6.1","130.0","5.9%","0.0%","1.6%","90.3","115.9","9.3","45.9%"
"[object Object]","2026","Patrick Mahomes","Chiefs","74","63.5%","84.8%","77.3%","7.6","7.7","283.0","6.8%","1.4%","4.8%","103.8","115.5","5.6","22.6%"
"[object Object]","2026","Jalen Hurts","Eagles","62","64.5%","84.9%","71.7%","7.5","6.5","233.5","8.1%","3.2%","8.0%","100.7","114.1","9.6","38.7%"
"[object Object]","2026","Lamar Jackson","Ravens","56","67.9%","83.7%","73.5%","10.0","8.2","279.5","3.6%","1.8%","7.4%","104.7","112.2","10.2","40.9%"
