"Rank","Season","Player","Team","Games","Dropbacks","Att","Comp","Catchable","On-Tgt","Yds","Air Yards","Intended Air Yards","TDs","Ints","Sacks","Pressures"
"[object Object]","2026","Tyler Shough","Saints","1","63","56","35","41","35","410","289","447","3","2","5","23"
"[object Object]","2026","Jordan Love","Packers","1","46","42","21","28","23","387","229","428","2","1","4","24"
"[object Object]","2026","Bryce Young","Panthers","1","41","37","23","26","23","361","200","326","3","1","2","12"
"[object Object]","2026","Josh Allen","Bills","1","32","29","20","25","24","334","213","355","2","0","2","10"
"[object Object]","2026","Lamar Jackson","Ravens","1","30","25","17","18","18","324","151","242","1","0","2","13"
"[object Object]","2026","Jacoby Brissett","Cardinals","1","39","37","27","33","29","277","184","287","1","0","1","11"
"[object Object]","2026","C.J. Stroud","Texans","1","42","38","26","29","28","274","150","281","2","0","3","15"
"[object Object]","2026","Caleb Williams","Bears","1","38","29","21","22","20","269","189","270","2","0","2","14"
"[object Object]","2026","Joe Burrow","Bengals","1","37","35","25","31","29","254","117","232","1","1","1","9"
"[object Object]","2026","Trevor Lawrence","Jaguars","1","25","23","18","20","15","245","186","221","4","0","1","6"
"[object Object]","2026","Jaxson Dart","Giants","1","34","29","23","25","23","230","138","233","3","0","2","9"
"[object Object]","2026","Aaron Rodgers","Steelers","1","42","40","24","30","28","221","94","358","1","0","2","18"
"[object Object]","2026","Malik Willis","Dolphins","1","37","27","15","19","14","220","119","337","0","1","5","19"
"[object Object]","2026","Baker Mayfield","Buccaneers","1","36","28","23","26","23","216","50","124","0","0","4","14"
"[object Object]","2026","Geno Smith","Jets","1","26","24","19","23","18","215","133","155","0","0","0","5"
"[object Object]","2026","Justin Herbert","Chargers","1","35","27","17","22","17","209","132","289","1","1","3","8"
"[object Object]","2026","Jared Goff","Lions","1","41","39","26","32","31","206","106","215","2","0","1","12"
"[object Object]","2026","Brock Purdy","49ers","1","36","34","25","31","25","205","79","135","3","1","0","5"
"[object Object]","2026","Deshaun Watson","Browns","1","30","22","16","17","13","205","109","225","1","1","5","12"
"[object Object]","2026","Jalen Hurts","Eagles","1","33","25","14","16","14","203","135","210","3","0","3","13"
"[object Object]","2026","Drew Lock","Seahawks","1","24","22","16","17","17","187","57","109","1","0","1","12"
"[object Object]","2026","Patrick Mahomes","Chiefs","1","33","27","15","18","15","184","19","121","2","1","2","8"
"[object Object]","2026","Drake Maye","Patriots","1","42","33","23","27","25","178","65","202","1","3","3","15"
"[object Object]","2026","Dak Prescott","Cowboys","1","36","34","22","26","22","175","84","259","2","1","0","9"
"[object Object]","2026","Daniel Jones","Colts","1","34","31","19","25","22","166","88","187","1","1","2","16"
"[object Object]","2026","Jayden Daniels","Commanders","1","38","34","18","23","18","164","92","253","2","0","1","17"
"[object Object]","2026","Kirk Cousins","Raiders","1","31","30","21","24","22","160","94","229","3","2","0","8"
"[object Object]","2026","Matthew Stafford","Rams","1","25","25","15","17","15","155","67","225","0","1","0","8"
"[object Object]","2026","Cooper Rush","Falcons","1","26","22","12","13","10","143","25","81","1","2","4","8"
"[object Object]","2026","Cam Ward","Titans","1","39","32","19","21","20","140","65","163","1","0","3","15"
"[object Object]","2026","Carson Wentz","Vikings","1","23","19","12","15","9","133","102","153","3","0","3","8"
"[object Object]","2026","Bo Nix","Broncos","1","33","28","17","22","19","131","43","116","1","1","4","15"
"[object Object]","2026","Kyler Murray","Vikings","1","7","5","3","3","2","18","1","31","0","1","0","3"
