"Rank","Season","Player","Team","Att","Points Earned","PE Per Play","Points Above Avg","PAA Per Play","EPA","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2026","Jayden Daniels","Commanders","34","16.04","0.458","12.04","0.344","1.91","37.1%","0.0","0.0","22.9%","11.4%"
"[object Object]","2026","Jared Goff","Lions","39","14.58","0.364","10.38","0.260","0.91","52.5%","0.0","0.0","20.0%","15.0%"
"[object Object]","2026","Dak Prescott","Cowboys","34","12.22","0.359","7.22","0.212","7.61","55.9%","0.0","0.0","20.6%","5.9%"
"[object Object]","2026","Joe Burrow","Bengals","35","10.61","0.295","6.24","0.173","0.21","52.8%","0.0","0.0","19.4%","16.7%"
"[object Object]","2026","Caleb Williams","Bears","29","9.91","0.320","6.52","0.210","11.47","54.8%","0.0","0.0","35.5%","6.5%"
"[object Object]","2026","Jacoby Brissett","Cardinals","37","9.33","0.246","5.29","0.139","11.64","57.9%","0.0","0.0","26.3%","7.9%"
"[object Object]","2026","Josh Allen","Bills","29","9.31","0.300","4.75","0.153","10.40","48.4%","0.0","0.0","22.6%","12.9%"
"[object Object]","2026","Geno Smith","Jets","24","9.30","0.388","6.39","0.266","10.14","58.3%","0.0","0.0","20.8%","4.2%"
"[object Object]","2026","Jaxson Dart","Giants","29","7.38","0.238","3.89","0.126","18.29","71.0%","0.0","0.0","35.5%","6.5%"
"[object Object]","2026","Cam Ward","Titans","32","7.34","0.210","1.88","0.054","-8.35","42.9%","0.0","0.0","5.7%","20.0%"
"[object Object]","2026","Trevor Lawrence","Jaguars","23","6.53","0.272","3.25","0.135","15.57","70.8%","0.0","0.0","25.0%","4.2%"
"[object Object]","2026","Drew Lock","Seahawks","22","5.55","0.241","1.88","0.082","6.07","47.8%","0.0","0.0","17.4%","17.4%"
"[object Object]","2026","Bryce Young","Panthers","37","5.17","0.133","0.36","0.009","4.09","48.7%","0.0","0.0","23.1%","15.4%"
"[object Object]","2026","Aaron Rodgers","Steelers","40","4.61","0.110","-0.41","-0.010","-12.54","38.1%","0.0","0.0","16.7%","19.0%"
"[object Object]","2026","Lamar Jackson","Ravens","25","4.22","0.156","1.11","0.041","8.90","59.3%","0.0","0.0","29.6%","11.1%"
"[object Object]","2026","Brock Purdy","49ers","34","4.21","0.124","0.15","0.004","6.52","58.8%","0.0","0.0","23.5%","8.8%"
"[object Object]","2026","Malik Willis","Dolphins","27","4.11","0.128","-0.79","-0.025","-6.50","40.6%","0.0","0.0","18.8%","25.0%"
"[object Object]","2026","Jalen Hurts","Eagles","25","3.42","0.122","-0.62","-0.022","-1.80","35.7%","0.0","0.0","17.9%","32.1%"
"[object Object]","2026","Daniel Jones","Colts","31","3.21","0.097","-1.55","-0.047","-12.33","36.4%","0.0","0.0","15.2%","24.2%"
"[object Object]","2026","C.J. Stroud","Texans","38","3.13","0.076","-1.17","-0.028","-1.48","46.3%","0.0","0.0","12.2%","17.1%"
"[object Object]","2026","Drake Maye","Patriots","33","2.59","0.072","-1.52","-0.042","-3.57","44.4%","0.0","0.0","25.0%","16.7%"
"[object Object]","2026","Justin Herbert","Chargers","27","2.09","0.070","-2.41","-0.080","-3.44","43.3%","0.0","0.0","20.0%","20.0%"
"[object Object]","2026","Kirk Cousins","Raiders","30","1.77","0.059","-1.66","-0.055","-2.79","43.3%","0.0","0.0","23.3%","13.3%"
"[object Object]","2026","Tyler Shough","Saints","56","1.73","0.028","-3.61","-0.059","-1.84","44.3%","0.0","0.0","21.3%","18.0%"
"[object Object]","2026","Carson Wentz","Vikings","19","1.21","0.055","-1.55","-0.070","2.02","40.9%","0.0","0.0","27.3%","22.7%"
"[object Object]","2026","Bo Nix","Broncos","28","0.94","0.029","-4.28","-0.134","-14.64","28.1%","0.0","0.0","9.4%","18.8%"
"[object Object]","2026","Baker Mayfield","Buccaneers","28","0.22","0.007","-4.49","-0.140","-6.57","50.0%","0.0","0.0","15.6%","12.5%"
"[object Object]","2026","Patrick Mahomes","Chiefs","27","-0.31","-0.011","-3.62","-0.125","-3.20","48.3%","0.0","0.0","17.2%","20.7%"
"[object Object]","2026","Jordan Love","Packers","42","-0.45","-0.010","-5.71","-0.124","-0.91","41.3%","0.0","0.0","21.7%","15.2%"
"[object Object]","2026","Matthew Stafford","Rams","25","-1.33","-0.053","-4.68","-0.187","-8.83","36.0%","0.0","0.0","12.0%","24.0%"
"[object Object]","2026","Kyler Murray","Vikings","5","-2.68","-0.536","-3.31","-0.662","-3.41","20.0%","0.0","0.0","20.0%","20.0%"
"[object Object]","2026","Deshaun Watson","Browns","22","-8.55","-0.317","-12.76","-0.473","-10.49","40.7%","0.0","0.0","18.5%","22.2%"
"[object Object]","2026","Cooper Rush","Falcons","22","-11.30","-0.434","-14.79","-0.569","-15.29","34.6%","0.0","0.0","15.4%","26.9%"
