"Rank","Season","Player","Team","Att","Comp%","Catchable%","On-Tgt%","Y/A","ANY/A","Y/G","TD%","Int%","Sack%","Rating","IQR","Avg Throw Depth","Pressure%"
"[object Object]","2026","Trevor Lawrence","Jaguars","23","78.3%","95.2%","71.4%","10.7","13.1","245.0","17.4%","0.0%","4.0%","150.6","150.2","10.5","24.0%"
"[object Object]","2026","Jalen Hurts","Eagles","25","56.0%","76.2%","66.7%","8.1","8.6","203.0","12.0%","0.0%","9.1%","122.2","134.3","10.0","39.4%"
"[object Object]","2026","Caleb Williams","Bears","29","72.4%","84.6%","76.9%","9.3","9.7","269.0","6.9%","0.0%","5.3%","124.1","131.7","10.4","36.8%"
"[object Object]","2026","Lamar Jackson","Ravens","25","68.0%","75.0%","75.0%","13.0","12.0","324.0","4.0%","0.0%","6.7%","124.2","130.6","10.1","44.8%"
"[object Object]","2026","Jaxson Dart","Giants","29","79.3%","89.3%","82.1%","7.9","9.5","230.0","10.3%","0.0%","5.9%","134.2","124.1","8.3","26.5%"
"[object Object]","2026","Josh Allen","Bills","29","69.0%","92.6%","88.9%","11.5","11.7","334.0","6.9%","0.0%","6.3%","130.5","122.9","12.7","31.3%"
"[object Object]","2026","Bryce Young","Panthers","37","62.2%","78.8%","69.7%","9.8","9.4","361.0","8.1%","2.7%","4.9%","110.3","121.0","9.9","29.3%"
"[object Object]","2026","Carson Wentz","Vikings","19","63.2%","88.2%","52.9%","7.0","7.9","133.0","15.8%","0.0%","13.0%","123.5","119.4","8.5","34.8%"
"[object Object]","2026","Baker Mayfield","Buccaneers","28","82.1%","96.3%","85.2%","7.7","6.0","216.0","0.0%","0.0%","11.1%","98.8","115.9","4.6","38.9%"
"[object Object]","2026","C.J. Stroud","Texans","38","68.4%","80.6%","77.8%","7.2","7.2","274.0","5.3%","0.0%","7.1%","106.7","111.7","7.6","35.7%"
