"Rank","Season","Player","Team","Games","Att","Yds","YAContact","TDs","Brkn Tkls","Missed Tkls","1st Downs","Fum","Fum Lost","Hit at Line","Stuffs","Used Designed Gap"
"[object Object]","2025","Josh Allen","Bills","16","112","579","329","14","12","12","46","1","1","52","27","105"
"[object Object]","2025","Justin Herbert","Chargers","16","83","498","224","2","2","9","34","2","0","39","15","83"
"[object Object]","2025","Jaxson Dart","Giants","14","86","487","185","9","4","6","38","2","1","33","14","77"
"[object Object]","2025","Drake Maye","Patriots","17","103","450","227","4","4","7","38","1","0","44","28","101"
"[object Object]","2025","Patrick Mahomes","Chiefs","14","64","422","161","5","6","4","27","0","0","18","10","62"
"[object Object]","2025","Jalen Hurts","Eagles","16","105","421","169","8","2","9","40","3","2","51","28","98"
"[object Object]","2025","Justin Fields","Jets","9","71","383","110","4","3","8","26","1","1","22","11","67"
"[object Object]","2025","Caleb Williams","Bears","17","77","383","127","3","9","5","28","1","0","30","22","75"
"[object Object]","2025","Baker Mayfield","Buccaneers","14","55","382","279","1","7","13","27","0","0","29","10","54"
"[object Object]","2025","Trevor Lawrence","Jaguars","17","82","359","261","9","4","9","40","1","1","36","14","80"
"[object Object]","2025","Bo Nix","Broncos","17","83","356","127","5","0","8","25","2","1","34","25","79"
"[object Object]","2025","Lamar Jackson","Ravens","13","67","349","186","2","7","8","24","0","0","28","14","61"
"[object Object]","2025","Marcus Mariota","Commanders","10","50","297","104","1","2","4","12","3","2","25","15","47"
"[object Object]","2025","Jayden Daniels","Commanders","7","58","278","177","2","8","11","14","0","0","27","11","49"
"[object Object]","2025","Bryce Young","Panthers","16","54","216","83","2","1","7","16","1","1","25","18","54"
"[object Object]","2025","C.J. Stroud","Texans","14","48","209","36","1","1","6","18","0","0","18","13","48"
"[object Object]","2025","Jordan Love","Packers","15","47","199","126","0","2","4","14","1","0","24","15","44"
"[object Object]","2025","Tyler Shough","Saints","10","45","186","117","3","3","4","11","0","0","22","13","44"
"[object Object]","2025","J.J. McCarthy","Vikings","9","37","181","137","4","2","4","12","0","0","21","13","33"
