"Rank","Season","Player","Team","Att","Points Earned","PE Per Play","Points Above Avg","PAA Per Play","EPA","EPA/A","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2025","Baker Mayfield","Buccaneers","55","37.61","0.684","32.35","0.588","37.63","0.68","63.6%","34.1","1.1","40.0%","1.8%"
"[object Object]","2025","Josh Allen","Bills","112","29.00","0.259","21.64","0.193","30.63","0.27","60.7%","25.0","0.8","20.5%","8.0%"
"[object Object]","2025","Trevor Lawrence","Jaguars","82","19.40","0.237","13.44","0.164","24.29","0.30","64.6%","16.1","0.5","22.0%","7.3%"
"[object Object]","2025","Bryce Young","Panthers","54","15.36","0.284","10.65","0.197","6.30","0.12","44.4%","12.1","0.4","14.8%","5.6%"
"[object Object]","2025","Shedeur Sanders","Browns","21","14.90","0.709","12.48","0.594","11.34","0.54","81.0%","13.2","0.4","19.0%","0.0%"
"[object Object]","2025","Spencer Rattler","Saints","31","14.35","0.463","12.08","0.390","9.02","0.29","71.0%","13.2","0.4","12.9%","3.2%"
"[object Object]","2025","Lamar Jackson","Ravens","67","13.64","0.204","8.58","0.128","16.92","0.25","47.8%","10.7","0.3","20.9%","3.0%"
"[object Object]","2025","Jayden Daniels","Commanders","58","12.82","0.221","7.54","0.130","1.97","0.03","55.2%","9.4","0.3","6.9%","5.2%"
"[object Object]","2025","Patrick Mahomes","Chiefs","64","11.89","0.186","5.56","0.087","29.50","0.46","64.1%","7.6","0.2","20.3%","0.0%"
"[object Object]","2025","J.J. McCarthy","Vikings","37","10.82","0.292","7.95","0.215","12.83","0.35","56.8%","9.0","0.3","21.6%","5.4%"
"[object Object]","2025","Justin Herbert","Chargers","83","10.04","0.121","3.47","0.042","27.60","0.33","60.2%","6.1","0.2","18.1%","7.2%"
"[object Object]","2025","Jaxson Dart","Giants","86","9.78","0.114","3.84","0.045","34.67","0.40","64.0%","6.6","0.2","27.9%","5.8%"
"[object Object]","2025","Kyler Murray","Cardinals","29","9.50","0.328","7.06","0.243","4.23","0.15","48.3%","8.1","0.2","20.7%","10.3%"
"[object Object]","2025","Dak Prescott","Cowboys","53","8.82","0.166","5.55","0.105","0.65","0.01","43.4%","6.9","0.2","11.3%","5.7%"
"[object Object]","2025","Jordan Love","Packers","47","8.43","0.179","5.11","0.109","16.02","0.34","51.1%","6.3","0.2","23.4%","2.1%"
"[object Object]","2025","Cam Ward","Titans","39","5.84","0.150","2.63","0.067","7.07","0.18","53.8%","3.8","0.1","20.5%","7.7%"
"[object Object]","2025","Tyrod Taylor","Jets","27","5.59","0.207","2.67","0.099","4.65","0.17","44.4%","3.6","0.1","11.1%","0.0%"
