"Rank","Season","Player","Team","Att","Y/A","Y/G","YAC/Att","BT+MT/A","1st Down %","Hit at Line %","Stuff%","Designed Gap %"
"[object Object]","2025","Justin Fields","Jets","71","5.4","42.6","1.5","15.5%","36.6%","31.0%","15.5%","94.4%"
"[object Object]","2025","Jayden Daniels","Commanders","58","4.8","39.7","3.1","32.8%","24.1%","46.6%","19.0%","84.5%"
"[object Object]","2025","Josh Allen","Bills","112","5.2","36.2","2.9","21.4%","41.1%","46.4%","24.1%","93.8%"
"[object Object]","2025","Jaxson Dart","Giants","86","5.7","34.8","2.2","11.6%","44.2%","38.4%","16.3%","89.5%"
"[object Object]","2025","Kyler Murray","Cardinals","29","6.0","34.6","3.4","20.7%","34.5%","48.3%","13.8%","79.3%"
"[object Object]","2025","Justin Herbert","Chargers","83","6.0","31.1","2.7","13.3%","41.0%","47.0%","18.1%","100.0%"
"[object Object]","2025","Malik Willis","Packers","22","5.6","30.8","3.0","22.7%","40.9%","59.1%","31.8%","86.4%"
"[object Object]","2025","Tyler Huntley","Ravens","24","6.3","30.2","1.6","4.2%","45.8%","41.7%","33.3%","95.8%"
"[object Object]","2025","Patrick Mahomes","Chiefs","64","6.6","30.1","2.5","15.6%","42.2%","28.1%","15.6%","96.9%"
"[object Object]","2025","Marcus Mariota","Commanders","50","5.9","29.7","2.1","12.0%","24.0%","50.0%","30.0%","94.0%"
"[object Object]","2025","Tyrod Taylor","Jets","27","5.3","28.6","3.8","33.3%","37.0%","55.6%","11.1%","96.3%"
"[object Object]","2025","Baker Mayfield","Buccaneers","55","6.9","27.3","5.1","36.4%","49.1%","52.7%","18.2%","98.2%"
"[object Object]","2025","Lamar Jackson","Ravens","67","5.2","26.8","2.8","22.4%","35.8%","41.8%","20.9%","91.0%"
"[object Object]","2025","Drake Maye","Patriots","103","4.4","26.5","2.2","10.7%","36.9%","42.7%","27.2%","98.1%"
"[object Object]","2025","Russell Wilson","Giants","18","5.9","26.5","1.8","0.0%","33.3%","33.3%","5.6%","88.9%"
"[object Object]","2025","Jalen Hurts","Eagles","105","4.0","26.3","1.6","10.5%","38.1%","48.6%","26.7%","93.3%"
"[object Object]","2025","Joe Milton III","Cowboys","5","10.0","25.0","3.6","20.0%","20.0%","0.0%","0.0%","100.0%"
"[object Object]","2025","Caleb Williams","Bears","77","5.0","22.5","1.6","18.2%","36.4%","39.0%","28.6%","97.4%"
"[object Object]","2025","Trey Lance","Chargers","17","5.0","21.3","5.6","35.3%","29.4%","70.6%","23.5%","94.1%"
"[object Object]","2025","Trevor Lawrence","Jaguars","82","4.4","21.1","3.2","15.9%","48.8%","43.9%","17.1%","97.6%"
"[object Object]","2025","Shedeur Sanders","Browns","21","8.0","21.1","6.3","38.1%","33.3%","47.6%","9.5%","100.0%"
"[object Object]","2025","Bo Nix","Broncos","83","4.3","20.9","1.5","9.6%","30.1%","41.0%","30.1%","95.2%"
"[object Object]","2025","Spencer Rattler","Saints","31","5.4","20.9","4.0","29.0%","54.8%","41.9%","9.7%","80.6%"
"[object Object]","2025","J.J. McCarthy","Vikings","37","4.9","20.1","3.7","16.2%","32.4%","56.8%","35.1%","89.2%"
"[object Object]","2025","Tyler Shough","Saints","45","4.1","18.6","2.6","15.6%","24.4%","48.9%","28.9%","97.8%"
"[object Object]","2025","Josh Johnson","Commanders","12","4.6","18.3","2.5","16.7%","33.3%","41.7%","25.0%","100.0%"
"[object Object]","2025","Dillon Gabriel","Browns","14","6.1","17.2","2.0","7.1%","28.6%","35.7%","14.3%","100.0%"
"[object Object]","2025","Brock Purdy","49ers","33","4.5","16.3","2.3","18.2%","48.5%","33.3%","15.2%","97.0%"
"[object Object]","2025","C.J. Stroud","Texans","48","4.4","14.9","0.8","14.6%","37.5%","37.5%","27.1%","100.0%"
"[object Object]","2025","Carson Wentz","Vikings","11","5.2","14.3","6.5","27.3%","27.3%","72.7%","18.2%","100.0%"
"[object Object]","2025","Jacoby Brissett","Cardinals","38","4.4","14.0","3.4","13.2%","42.1%","44.7%","18.4%","100.0%"
"[object Object]","2025","Bryce Young","Panthers","54","4.0","13.5","1.5","14.8%","29.6%","46.3%","33.3%","100.0%"
"[object Object]","2025","Jordan Love","Packers","47","4.2","13.3","2.7","12.8%","29.8%","51.1%","31.9%","93.6%"
"[object Object]","2025","Daniel Jones","Colts","45","3.6","12.6","2.0","6.7%","42.2%","53.3%","20.0%","100.0%"
"[object Object]","2025","Jameis Winston","Giants","7","3.3","11.5","2.0","0.0%","42.9%","71.4%","28.6%","85.7%"
"[object Object]","2025","Clayton Tune","Packers","5","4.6","11.5","2.8","20.0%","40.0%","40.0%","40.0%","100.0%"
"[object Object]","2025","Cam Ward","Titans","39","4.1","11.4","2.7","23.1%","38.5%","48.7%","23.1%","92.3%"
"[object Object]","2025","Dak Prescott","Cowboys","53","3.3","11.1","2.2","15.1%","28.3%","66.0%","39.6%","98.1%"
"[object Object]","2025","Davis Mills","Texans","13","4.6","10.0","1.0","0.0%","15.4%","38.5%","38.5%","100.0%"
"[object Object]","2025","Brady Cook","Jets","13","3.8","9.8","1.7","23.1%","30.8%","53.8%","23.1%","100.0%"
"[object Object]","2025","Jake Browning","Bengals","9","4.3","9.8","1.6","11.1%","55.6%","33.3%","11.1%","100.0%"
"[object Object]","2025","Riley Leonard","Colts","6","4.5","9.0","0.7","33.3%","66.7%","50.0%","16.7%","83.3%"
"[object Object]","2025","Sam Darnold","Seahawks","35","2.7","7.9","1.4","8.6%","28.6%","60.0%","48.6%","100.0%"
