"Rank","Season","Player","Team","Games","Att","Yds","YAContact","TDs","Brkn Tkls","Missed Tkls","1st Downs","Fum","Fum Lost","Hit at Line","Stuffs","Used Designed Gap"
"[object Object]","2026","Caleb Williams","Bears","1","10","65","4","2","0","1","4","0","0","3","2","10"
"[object Object]","2026","Jaxson Dart","Giants","1","11","54","8","0","0","0","4","0","0","5","3","11"
"[object Object]","2026","Drake Maye","Patriots","1","7","47","8","0","0","1","5","0","0","1","0","7"
"[object Object]","2026","Jalen Hurts","Eagles","1","7","46","36","0","0","1","2","0","0","4","2","7"
"[object Object]","2026","Lamar Jackson","Ravens","1","7","40","30","1","2","0","3","0","0","4","3","7"
"[object Object]","2026","Malik Willis","Dolphins","1","6","39","13","1","1","0","2","1","0","2","1","6"
"[object Object]","2026","Deshaun Watson","Browns","1","6","38","25","0","1","2","3","0","0","1","0","3"
"[object Object]","2026","Jayden Daniels","Commanders","1","5","31","30","0","0","4","1","0","0","4","1","4"
"[object Object]","2026","Baker Mayfield","Buccaneers","1","5","30","20","1","0","1","1","1","1","2","1","4"
"[object Object]","2026","Brock Purdy","49ers","1","5","29","21","0","0","2","4","0","0","3","1","5"
"[object Object]","2026","Justin Herbert","Chargers","1","5","29","14","0","0","0","1","0","0","1","0","5"
"[object Object]","2026","Kenny Pickett","Panthers","1","1","24","0","0","0","0","1","0","0","0","0","1"
"[object Object]","2026","Josh Allen","Bills","1","6","23","4","2","0","1","2","0","0","3","3","5"
"[object Object]","2026","Patrick Mahomes","Chiefs","1","7","23","5","1","0","1","2","0","0","4","3","7"
"[object Object]","2026","Cam Ward","Titans","1","4","21","13","0","0","1","2","0","0","1","0","3"
"[object Object]","2026","Joe Burrow","Bengals","1","5","20","2","0","0","0","4","0","0","2","1","3"
"[object Object]","2026","C.J. Stroud","Texans","1","2","15","3","0","0","0","1","0","0","1","1","2"
"[object Object]","2026","Jacoby Brissett","Cardinals","1","6","14","4","0","0","0","3","0","0","3","3","6"
"[object Object]","2026","Dak Prescott","Cowboys","1","2","14","11","0","1","0","1","0","0","1","0","2"
"[object Object]","2026","Drew Lock","Seahawks","1","2","13","1","0","0","0","0","0","0","1","1","2"
"[object Object]","2026","Bryce Young","Panthers","1","2","10","0","1","0","0","1","0","0","0","0","2"
"[object Object]","2026","Stetson Bennett IV","Rams","1","1","9","0","0","0","0","1","0","0","0","0","1"
"[object Object]","2026","Kyler Murray","Vikings","1","2","9","7","0","0","1","0","0","0","1","0","2"
"[object Object]","2026","Tyler Shough","Saints","1","4","8","7","0","0","2","1","0","0","2","1","4"
"[object Object]","2026","Geno Smith","Jets","1","6","7","12","0","0","1","0","0","0","5","4","6"
"[object Object]","2026","Daniel Jones","Colts","1","1","4","11","0","0","1","1","0","0","1","0","1"
"[object Object]","2026","Trevor Lawrence","Jaguars","1","2","3","1","0","0","0","1","0","0","1","0","2"
"[object Object]","2026","Bo Nix","Broncos","1","3","2","0","0","0","0","0","0","0","2","2","3"
"[object Object]","2026","Jared Goff","Lions","1","2","2","0","0","0","0","0","0","0","1","1","2"
"[object Object]","2026","Jordan Love","Packers","1","1","0","0","0","0","0","0","0","0","1","1","1"
"[object Object]","2026","Carson Wentz","Vikings","1","5","-1","4","0","0","0","1","0","0","5","3","5"
"[object Object]","2026","Matthew Stafford","Rams","1","2","-1","0","0","0","0","0","0","0","2","2","2"
"[object Object]","2026","Aaron Rodgers","Steelers","1","3","-3","0","0","0","0","0","0","0","3","3","3"
"[object Object]","2026","Nick Mullens","Jaguars","1","3","-3","0","0","0","0","0","0","0","3","3","3"
"[object Object]","2026","Kirk Cousins","Raiders","1","5","-6","0","0","0","0","0","0","0","4","4","5"
