"Rank","Season","Player","Team","Att","Points Earned","PE Per Play","Points Above Avg","PAA Per Play","EPA","EPA/A","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2026","Deshaun Watson","Browns","6","4.13","0.689","3.54","0.590","3.53","0.59","83.3%","0.0","0.0","33.3%","16.7%"
"[object Object]","2026","Lamar Jackson","Ravens","7","3.57","0.511","3.18","0.455","3.41","0.49","42.9%","0.0","0.0","28.6%","0.0%"
"[object Object]","2026","Jayden Daniels","Commanders","5","3.38","0.675","2.97","0.594","0.52","0.10","40.0%","0.0","0.0","20.0%","0.0%"
"[object Object]","2026","Jalen Hurts","Eagles","7","2.73","0.390","2.01","0.287","4.53","0.65","57.1%","0.0","0.0","42.9%","0.0%"
"[object Object]","2026","Cam Ward","Titans","4","2.57","0.642","1.94","0.486","3.17","0.79","100.0%","0.0","0.0","25.0%","0.0%"
"[object Object]","2026","Patrick Mahomes","Chiefs","7","2.42","0.346","1.97","0.281","0.74","0.11","42.9%","0.0","0.0","28.6%","14.3%"
"[object Object]","2026","Brock Purdy","49ers","5","1.82","0.364","1.48","0.296","2.87","0.57","80.0%","0.0","0.0","20.0%","0.0%"
"[object Object]","2026","Dak Prescott","Cowboys","2","1.03","0.515","0.74","0.368","0.46","0.23","50.0%","0.0","0.0","0.0%","0.0%"
"[object Object]","2026","Daniel Jones","Colts","1","0.99","0.993","0.85","0.849","0.18","0.18","100.0%","0.0","0.0","0.0%","0.0%"
"[object Object]","2026","Jacoby Brissett","Cardinals","6","0.77","0.129","0.61","0.101","2.23","0.37","50.0%","0.0","0.0","16.7%","0.0%"
"[object Object]","2026","Drake Maye","Patriots","7","0.73","0.104","0.01","0.002","1.40","0.20","57.1%","0.0","0.0","0.0%","14.3%"
"[object Object]","2026","Tyler Shough","Saints","4","0.43","0.107","0.20","0.051","-1.32","-0.33","25.0%","0.0","0.0","0.0%","25.0%"
"[object Object]","2026","Kyler Murray","Vikings","2","0.21","0.104","-0.04","-0.022","-1.50","-0.75","0.0%","0.0","0.0","0.0%","50.0%"
"[object Object]","2026","Drew Lock","Seahawks","2","0.18","0.091","0.02","0.011","1.00","0.50","50.0%","0.0","0.0","50.0%","0.0%"
"[object Object]","2026","Stetson Bennett IV","Rams","1","0.18","0.183","0.05","0.049","0.44","0.44","100.0%","0.0","0.0","0.0%","0.0%"
"[object Object]","2026","Jaxson Dart","Giants","11","0.15","0.014","-0.34","-0.031","4.46","0.41","63.6%","0.0","0.0","9.1%","0.0%"
"[object Object]","2026","Joe Burrow","Bengals","5","0.08","0.016","-0.14","-0.028","1.76","0.35","60.0%","0.0","0.0","20.0%","0.0%"
"[object Object]","2026","Kenny Pickett","Panthers","1","0.01","0.008","-0.12","-0.115","0.92","0.92","100.0%","0.0","0.0","0.0%","0.0%"
"[object Object]","2026","Matthew Stafford","Rams","2","0.00","0.000","0.00","0.000","-4.00","-2.00","0.0%","0.0","0.0","0.0%","50.0%"
"[object Object]","2026","Aaron Rodgers","Steelers","3","0.00","0.000","0.00","0.000","-0.23","-0.08","0.0%","0.0","0.0","0.0%","0.0%"
"[object Object]","2026","Nick Mullens","Jaguars","3","0.00","0.000","0.00","0.000","-0.36","-0.12","0.0%","0.0","0.0","0.0%","0.0%"
"[object Object]","2026","Malik Willis","Dolphins","6","-0.01","-0.001","-0.81","-0.136","2.78","0.46","50.0%","0.0","0.0","16.7%","0.0%"
"[object Object]","2026","Bryce Young","Panthers","2","-0.05","-0.027","-0.30","-0.150","0.96","0.48","50.0%","0.0","0.0","50.0%","0.0%"
"[object Object]","2026","Geno Smith","Jets","6","-0.13","-0.022","-0.41","-0.068","-2.89","-0.48","16.7%","0.0","0.0","0.0%","16.7%"
"[object Object]","2026","Trevor Lawrence","Jaguars","2","-0.17","-0.086","-0.35","-0.173","0.39","0.19","50.0%","0.0","0.0","0.0%","0.0%"
"[object Object]","2026","Carson Wentz","Vikings","5","-0.20","-0.039","-0.36","-0.071","-1.20","-0.24","20.0%","0.0","0.0","0.0%","0.0%"
"[object Object]","2026","Justin Herbert","Chargers","5","-0.47","-0.094","-1.22","-0.244","0.19","0.04","60.0%","0.0","0.0","0.0%","0.0%"
"[object Object]","2026","Jared Goff","Lions","2","-0.50","-0.250","-0.63","-0.317","-1.11","-0.55","0.0%","0.0","0.0","0.0%","50.0%"
"[object Object]","2026","Bo Nix","Broncos","3","-0.53","-0.175","-0.73","-0.244","-1.26","-0.42","0.0%","0.0","0.0","0.0%","0.0%"
"[object Object]","2026","C.J. Stroud","Texans","2","-0.61","-0.304","-0.74","-0.371","1.32","0.66","50.0%","0.0","0.0","50.0%","0.0%"
"[object Object]","2026","Kirk Cousins","Raiders","5","-0.63","-0.125","-0.77","-0.154","-2.00","-0.40","0.0%","0.0","0.0","0.0%","20.0%"
"[object Object]","2026","Baker Mayfield","Buccaneers","5","-0.91","-0.182","-1.50","-0.300","-3.85","-0.77","60.0%","0.0","0.0","20.0%","20.0%"
"[object Object]","2026","Caleb Williams","Bears","10","-3.06","-0.306","-3.92","-0.392","2.01","0.20","60.0%","0.0","0.0","20.0%","10.0%"
"[object Object]","2026","Josh Allen","Bills","6","-3.45","-0.575","-3.76","-0.626","-1.40","-0.23","50.0%","0.0","0.0","16.7%","16.7%"
"[object Object]","2026","Jordan Love","Packers","1","-4.69","-4.694","-4.73","-4.726","-3.84","-3.84","0.0%","0.0","0.0","0.0%","100.0%"
