"Rank","Season","Player","Team","Att","Y/A","Y/G","YAC/Att","BT+MT/A","1st Down %","Hit at Line %","Stuff%","Designed Gap %"
"[object Object]","2026","Caleb Williams","Bears","10","6.5","65.0","0.4","10.0%","40.0%","30.0%","20.0%","100.0%"
"[object Object]","2026","Jaxson Dart","Giants","11","4.9","54.0","0.7","0.0%","36.4%","45.5%","27.3%","100.0%"
"[object Object]","2026","Drake Maye","Patriots","7","6.7","47.0","1.1","14.3%","71.4%","14.3%","0.0%","100.0%"
"[object Object]","2026","Jalen Hurts","Eagles","7","6.6","46.0","5.1","14.3%","28.6%","57.1%","28.6%","100.0%"
"[object Object]","2026","Lamar Jackson","Ravens","7","5.7","40.0","4.3","28.6%","42.9%","57.1%","42.9%","100.0%"
"[object Object]","2026","Malik Willis","Dolphins","6","6.5","39.0","2.2","16.7%","33.3%","33.3%","16.7%","100.0%"
"[object Object]","2026","Deshaun Watson","Browns","6","6.3","38.0","4.2","50.0%","50.0%","16.7%","0.0%","50.0%"
"[object Object]","2026","Jayden Daniels","Commanders","5","6.2","31.0","6.0","80.0%","20.0%","80.0%","20.0%","80.0%"
"[object Object]","2026","Baker Mayfield","Buccaneers","5","6.0","30.0","4.0","20.0%","20.0%","40.0%","20.0%","80.0%"
"[object Object]","2026","Brock Purdy","49ers","5","5.8","29.0","4.2","40.0%","80.0%","60.0%","20.0%","100.0%"
"[object Object]","2026","Justin Herbert","Chargers","5","5.8","29.0","2.8","0.0%","20.0%","20.0%","0.0%","100.0%"
"[object Object]","2026","Kenny Pickett","Panthers","1","24.0","24.0","0.0","0.0%","100.0%","0.0%","0.0%","100.0%"
"[object Object]","2026","Josh Allen","Bills","6","3.8","23.0","0.7","16.7%","33.3%","50.0%","50.0%","83.3%"
"[object Object]","2026","Patrick Mahomes","Chiefs","7","3.3","23.0","0.7","14.3%","28.6%","57.1%","42.9%","100.0%"
"[object Object]","2026","Cam Ward","Titans","4","5.3","21.0","3.3","25.0%","50.0%","25.0%","0.0%","75.0%"
"[object Object]","2026","Joe Burrow","Bengals","5","4.0","20.0","0.4","0.0%","80.0%","40.0%","20.0%","60.0%"
"[object Object]","2026","C.J. Stroud","Texans","2","7.5","15.0","1.5","0.0%","50.0%","50.0%","50.0%","100.0%"
"[object Object]","2026","Jacoby Brissett","Cardinals","6","2.3","14.0","0.7","0.0%","50.0%","50.0%","50.0%","100.0%"
"[object Object]","2026","Dak Prescott","Cowboys","2","7.0","14.0","5.5","50.0%","50.0%","50.0%","0.0%","100.0%"
"[object Object]","2026","Drew Lock","Seahawks","2","6.5","13.0","0.5","0.0%","0.0%","50.0%","50.0%","100.0%"
"[object Object]","2026","Bryce Young","Panthers","2","5.0","10.0","0.0","0.0%","50.0%","0.0%","0.0%","100.0%"
"[object Object]","2026","Stetson Bennett IV","Rams","1","9.0","9.0","0.0","0.0%","100.0%","0.0%","0.0%","100.0%"
"[object Object]","2026","Kyler Murray","Vikings","2","4.5","9.0","3.5","50.0%","0.0%","50.0%","0.0%","100.0%"
"[object Object]","2026","Tyler Shough","Saints","4","2.0","8.0","1.8","50.0%","25.0%","50.0%","25.0%","100.0%"
"[object Object]","2026","Geno Smith","Jets","6","1.2","7.0","2.0","16.7%","0.0%","83.3%","66.7%","100.0%"
"[object Object]","2026","Daniel Jones","Colts","1","4.0","4.0","11.0","100.0%","100.0%","100.0%","0.0%","100.0%"
"[object Object]","2026","Trevor Lawrence","Jaguars","2","1.5","3.0","0.5","0.0%","50.0%","50.0%","0.0%","100.0%"
"[object Object]","2026","Bo Nix","Broncos","3","0.7","2.0","0.0","0.0%","0.0%","66.7%","66.7%","100.0%"
"[object Object]","2026","Jared Goff","Lions","2","1.0","2.0","0.0","0.0%","0.0%","50.0%","50.0%","100.0%"
"[object Object]","2026","Jordan Love","Packers","1","0.0","0.0","0.0","0.0%","0.0%","100.0%","100.0%","100.0%"
"[object Object]","2026","Carson Wentz","Vikings","5","-0.2","-1.0","0.8","0.0%","20.0%","100.0%","60.0%","100.0%"
"[object Object]","2026","Matthew Stafford","Rams","2","-0.5","-1.0","0.0","0.0%","0.0%","100.0%","100.0%","100.0%"
"[object Object]","2026","Aaron Rodgers","Steelers","3","-1.0","-3.0","0.0","0.0%","0.0%","100.0%","100.0%","100.0%"
"[object Object]","2026","Nick Mullens","Jaguars","3","-1.0","-3.0","0.0","0.0%","0.0%","100.0%","100.0%","100.0%"
"[object Object]","2026","Kirk Cousins","Raiders","5","-1.2","-6.0","0.0","0.0%","0.0%","80.0%","80.0%","100.0%"
