"Rank","Season","Player","Team","Pos","Tgts","Points Earned","PE Per Route","Points Above Avg","PAA Per Route","EPA","EPA Per Tgt","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2025","Puka Nacua","Rams","WR","164","63.82","0.143","53.48","0.120","104.74","0.64","72.0%","59.2","1.8","38.4%","5.5%"
"[object Object]","2025","Trey McBride","Cardinals","TE","168","42.97","0.064","27.24","0.041","58.13","0.35","60.7%","36.2","1.1","20.8%","7.7%"
"[object Object]","2025","Jaxon Smith-Njigba","Seahawks","WR","163","37.72","0.078","26.06","0.054","70.63","0.43","62.0%","32.0","1.0","34.4%","12.3%"
"[object Object]","2025","Bijan Robinson","Falcons","RB","102","36.91","0.089","27.09","0.065","21.80","0.21","55.9%","31.8","1.0","16.7%","8.8%"
"[object Object]","2025","Ja'Marr Chase","Bengals","WR","186","35.01","0.056","20.44","0.033","30.23","0.16","54.3%","29.0","0.9","23.1%","13.4%"
"[object Object]","2025","Amon-Ra St. Brown","Lions","WR","175","34.12","0.065","21.75","0.042","40.10","0.23","56.6%","28.4","0.9","25.7%","14.9%"
"[object Object]","2025","Justin Jefferson","Vikings","WR","141","33.17","0.062","19.64","0.037","-3.64","-0.03","50.4%","26.1","0.8","23.4%","16.3%"
"[object Object]","2025","Stefon Diggs","Patriots","WR","102","32.97","0.082","23.41","0.058","60.74","0.60","74.5%","28.5","0.9","34.3%","11.8%"
"[object Object]","2025","George Pickens","Cowboys","WR","137","32.84","0.056","19.80","0.034","69.59","0.51","64.2%","27.2","0.8","35.8%","8.8%"
"[object Object]","2025","Drake London","Falcons","WR","111","28.18","0.078","19.55","0.054","29.49","0.27","55.0%","24.1","0.7","26.1%","13.5%"
"[object Object]","2025","Nico Collins","Texans","WR","121","27.98","0.061","17.14","0.037","33.02","0.27","49.6%","23.0","0.7","29.8%","12.4%"
"[object Object]","2025","Alec Pierce","Colts","WR","85","27.74","0.062","16.85","0.038","44.50","0.52","52.9%","22.5","0.7","34.1%","10.6%"
"[object Object]","2025","Christian McCaffrey","49ers","RB","129","26.20","0.056","15.17","0.032","34.07","0.26","60.5%","20.5","0.6","24.0%","9.3%"
"[object Object]","2025","Tucker Kraft","Packers","TE","45","25.69","0.135","21.07","0.111","31.73","0.71","64.4%","23.6","0.7","46.7%","11.1%"
"[object Object]","2025","Zay Flowers","Ravens","WR","118","25.14","0.054","13.31","0.029","39.11","0.33","57.6%","19.1","0.6","33.1%","12.7%"
"[object Object]","2025","Hunter Henry","Patriots","TE","87","25.10","0.056","14.40","0.032","33.07","0.38","63.2%","20.4","0.6","35.6%","8.0%"
"[object Object]","2025","DK Metcalf","Steelers","WR","100","25.04","0.059","14.57","0.034","19.68","0.20","50.0%","19.7","0.6","24.0%","15.0%"
"[object Object]","2025","Jameson Williams","Lions","WR","101","24.60","0.045","11.54","0.021","44.12","0.44","55.4%","18.6","0.6","35.6%","15.8%"
