"Rank","Season","Player","Team","Pos","Tgts","Points Earned","PE Per Route","Points Above Avg","PAA Per Route","EPA","EPA Per Tgt","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2026","Jaxon Smith-Njigba","Seahawks","WR","22","10.73","0.228","9.45","0.201","22.49","1.02","68.2%","0.0","0.0","40.9%","4.5%"
"[object Object]","2026","Davante Adams","Rams","WR","16","9.29","0.211","8.14","0.185","8.71","0.54","62.5%","0.0","0.0","37.5%","25.0%"
"[object Object]","2026","CeeDee Lamb","Cowboys","WR","17","8.50","0.152","6.94","0.124","14.71","0.87","70.6%","0.0","0.0","52.9%","5.9%"
"[object Object]","2026","Travis Kelce","Chiefs","TE","16","8.03","0.130","6.80","0.110","11.74","0.73","68.8%","0.0","0.0","37.5%","6.3%"
"[object Object]","2026","Zay Flowers","Ravens","WR","6","7.86","0.786","7.62","0.762","11.32","1.89","83.3%","0.0","0.0","66.7%","0.0%"
"[object Object]","2026","Dalton Kincaid","Bills","TE","15","7.76","0.169","6.59","0.143","12.22","0.81","66.7%","0.0","0.0","40.0%","6.7%"
"[object Object]","2026","Juwan Johnson","Saints","TE","11","7.37","0.104","6.00","0.084","6.30","0.57","45.5%","0.0","0.0","36.4%","9.1%"
"[object Object]","2026","Parker Washington","Jaguars","WR","18","7.23","0.168","6.07","0.141","5.14","0.29","61.1%","0.0","0.0","27.8%","16.7%"
"[object Object]","2026","Christian Watson","Packers","WR","19","6.72","0.107","5.15","0.082","1.28","0.07","47.4%","0.0","0.0","26.3%","21.1%"
"[object Object]","2026","Josh Downs","Colts","WR","13","6.49","0.114","5.00","0.088","9.15","0.70","69.2%","0.0","0.0","46.2%","0.0%"
"[object Object]","2026","Tee Higgins","Bengals","WR","16","6.29","0.114","4.97","0.090","8.52","0.53","50.0%","0.0","0.0","37.5%","12.5%"
"[object Object]","2026","Emmett Johnson","Chiefs","RB","4","5.86","0.326","5.49","0.305","4.64","1.16","100.0%","0.0","0.0","50.0%","0.0%"
"[object Object]","2026","Amon-Ra St. Brown","Lions","WR","27","5.42","0.070","3.64","0.047","10.65","0.39","59.3%","0.0","0.0","29.6%","11.1%"
"[object Object]","2026","Justin Jefferson","Vikings","WR","15","5.37","0.101","4.07","0.077","10.40","0.69","53.3%","0.0","0.0","46.7%","0.0%"
"[object Object]","2026","Kenneth Walker III","Chiefs","RB","16","5.30","0.136","4.54","0.117","1.63","0.10","50.0%","0.0","0.0","25.0%","0.0%"
"[object Object]","2026","Denzel Boston","Browns","WR","11","5.13","0.092","3.51","0.063","7.85","0.71","45.5%","0.0","0.0","27.3%","0.0%"
"[object Object]","2026","Dalton Schultz","Texans","TE","21","5.06","0.069","3.61","0.049","3.60","0.17","61.9%","0.0","0.0","4.8%","9.5%"
"[object Object]","2026","Stefon Diggs","Commanders","WR","15","4.98","0.106","3.95","0.084","7.97","0.53","60.0%","0.0","0.0","40.0%","6.7%"
"[object Object]","2026","Breece Hall","Jets","RB","8","4.84","0.179","4.29","0.159","4.90","0.61","62.5%","0.0","0.0","12.5%","0.0%"
"[object Object]","2026","Mike Evans","49ers","WR","10","4.73","0.115","3.69","0.090","11.63","1.16","90.0%","0.0","0.0","70.0%","0.0%"
"[object Object]","2026","Sam LaPorta","Lions","TE","15","4.54","0.062","2.87","0.039","8.20","0.55","66.7%","0.0","0.0","26.7%","6.7%"
"[object Object]","2026","Tetairoa McMillan","Panthers","WR","18","4.33","0.059","2.56","0.035","-1.52","-0.08","50.0%","0.0","0.0","33.3%","22.2%"
"[object Object]","2026","Drake London","Falcons","WR","10","4.31","0.096","3.37","0.075","2.63","0.26","60.0%","0.0","0.0","20.0%","10.0%"
"[object Object]","2026","Dontayvion Wicks","Eagles","WR","10","4.19","0.076","2.85","0.052","11.76","1.18","70.0%","0.0","0.0","60.0%","20.0%"
"[object Object]","2026","Bijan Robinson","Falcons","RB","14","4.08","0.124","3.24","0.098","-6.34","-0.45","50.0%","0.0","0.0","14.3%","14.3%"
"[object Object]","2026","Caleb Douglas","Dolphins","WR","10","4.06","0.078","2.75","0.053","4.37","0.44","70.0%","0.0","0.0","40.0%","30.0%"
"[object Object]","2026","Trey McBride","Cardinals","TE","23","3.93","0.069","2.46","0.043","6.94","0.30","65.2%","0.0","0.0","26.1%","8.7%"
"[object Object]","2026","Adonai Mitchell","Jets","WR","15","3.81","0.067","2.58","0.045","4.97","0.33","46.7%","0.0","0.0","20.0%","6.7%"
"[object Object]","2026","Javonte Williams","Cowboys","RB","9","3.75","0.110","2.80","0.082","2.83","0.31","77.8%","0.0","0.0","11.1%","0.0%"
"[object Object]","2026","DeVonta Smith","Eagles","WR","19","3.69","0.054","2.10","0.031","0.60","0.03","68.4%","0.0","0.0","26.3%","21.1%"
"[object Object]","2026","Evan Engram","Broncos","TE","6","3.69","0.115","2.73","0.085","3.92","0.65","66.7%","0.0","0.0","50.0%","0.0%"
"[object Object]","2026","Malik Washington","Dolphins","WR","13","3.61","0.062","2.03","0.035","0.27","0.02","23.1%","0.0","0.0","15.4%","0.0%"
"[object Object]","2026","DJ Moore","Bills","WR","8","3.60","0.109","2.73","0.083","5.44","0.68","50.0%","0.0","0.0","25.0%","12.5%"
"[object Object]","2026","Dallas Goedert","Eagles","TE","7","3.48","0.112","2.64","0.085","6.98","1.00","71.4%","0.0","0.0","28.6%","0.0%"
"[object Object]","2026","Chuba Hubbard","Panthers","RB","5","3.45","0.088","2.50","0.064","6.86","1.37","80.0%","0.0","0.0","60.0%","0.0%"
"[object Object]","2026","Harold Fannin Jr.","Browns","TE","9","3.43","0.070","2.08","0.042","2.49","0.28","77.8%","0.0","0.0","22.2%","22.2%"
"[object Object]","2026","Puka Nacua","Rams","WR","9","3.37","0.169","2.84","0.142","-1.38","-0.15","22.2%","0.0","0.0","22.2%","22.2%"
"[object Object]","2026","Tre' Harris","Chargers","WR","9","3.32","0.069","2.00","0.042","0.28","0.03","22.2%","0.0","0.0","11.1%","22.2%"
"[object Object]","2026","Jalen Coker","Panthers","WR","18","3.30","0.049","1.62","0.024","12.13","0.67","77.8%","0.0","0.0","33.3%","11.1%"
"[object Object]","2026","Mike Gesicki","Bengals","TE","7","3.17","0.091","2.29","0.066","6.73","0.96","71.4%","0.0","0.0","57.1%","0.0%"
"[object Object]","2026","Chris Olave","Saints","WR","23","3.16","0.036","1.45","0.017","17.72","0.77","60.9%","0.0","0.0","43.5%","8.7%"
"[object Object]","2026","Rome Odunze","Bears","WR","7","3.16","0.056","1.94","0.035","3.90","0.56","57.1%","0.0","0.0","28.6%","14.3%"
