"Rank","Season","Player","Team","Att","Points Earned","PE Per Play","Points Above Avg","PAA Per Play","EPA","EPA/A","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2025","Bijan Robinson","Falcons","287","37.67","0.131","28.18","0.098","2.44","0.01","46.0%","37.5","1.2","6.6%","7.3%"
"[object Object]","2025","Baker Mayfield","Buccaneers","55","37.61","0.684","32.35","0.588","37.63","0.68","63.6%","34.1","1.1","40.0%","1.8%"
"[object Object]","2025","Jonathan Taylor","Colts","323","32.72","0.101","21.63","0.067","18.38","0.06","48.0%","32.0","1.0","8.0%","4.0%"
"[object Object]","2025","Josh Allen","Bills","112","29.00","0.259","21.64","0.193","30.63","0.27","60.7%","25.0","0.8","20.5%","8.0%"
"[object Object]","2025","De'Von Achane","Dolphins","238","27.17","0.114","18.69","0.079","23.99","0.10","47.9%","26.4","0.8","10.5%","4.6%"
"[object Object]","2025","Tank Bigsby","2 teams","63","25.04","0.397","22.98","0.365","12.56","0.20","54.0%","25.0","0.8","15.9%","7.9%"
"[object Object]","2025","Javonte Williams","Cowboys","252","24.51","0.097","16.66","0.066","21.11","0.08","52.0%","24.8","0.8","6.0%","4.8%"
"[object Object]","2025","Jahmyr Gibbs","Lions","243","22.44","0.092","14.42","0.059","7.80","0.03","45.3%","22.3","0.7","10.7%","6.6%"
"[object Object]","2025","Kenneth Walker III","Seahawks","221","21.78","0.099","14.21","0.064","-0.96","-0.00","42.1%","21.4","0.7","6.3%","5.9%"
"[object Object]","2025","James Cook III","Bills","309","21.68","0.070","11.57","0.037","27.02","0.09","55.3%","21.6","0.7","4.9%","3.2%"
"[object Object]","2025","Jaylen Warren","Steelers","211","20.46","0.097","12.98","0.062","7.94","0.04","44.1%","19.8","0.6","5.7%","2.4%"
"[object Object]","2025","J.K. Dobbins","Broncos","153","19.73","0.129","14.70","0.096","13.11","0.09","51.0%","19.7","0.6","7.2%","2.6%"
