"Rank","Season","Player","Team","Att","Points Earned","PE Per Play","Points Above Avg","PAA Per Play","EPA","EPA/A","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2026","Kenneth Walker III","Chiefs","47","16.45","0.350","15.09","0.321","10.27","0.22","48.9%","0.0","0.0","10.6%","2.1%"
"[object Object]","2026","Deshaun Watson","Browns","13","8.46","0.650","7.37","0.567","3.91","0.30","53.8%","0.0","0.0","23.1%","7.7%"
"[object Object]","2026","Jayden Daniels","Commanders","12","7.84","0.653","6.72","0.560","3.51","0.29","58.3%","0.0","0.0","25.0%","8.3%"
"[object Object]","2026","Jahmyr Gibbs","Lions","45","6.79","0.151","5.43","0.121","1.71","0.04","51.1%","0.0","0.0","8.9%","6.7%"
"[object Object]","2026","Derrick Henry","Ravens","40","6.52","0.163","5.15","0.129","9.41","0.24","62.5%","0.0","0.0","10.0%","0.0%"
"[object Object]","2026","Bucky Irving","Buccaneers","25","6.30","0.252","5.41","0.216","1.82","0.07","48.0%","0.0","0.0","8.0%","0.0%"
"[object Object]","2026","Lamar Jackson","Ravens","11","6.23","0.566","5.29","0.481","5.40","0.49","54.5%","0.0","0.0","18.2%","0.0%"
"[object Object]","2026","Baker Mayfield","Buccaneers","9","5.70","0.633","4.71","0.523","0.67","0.07","66.7%","0.0","0.0","33.3%","11.1%"
"[object Object]","2026","D'Andre Swift","Bears","34","5.35","0.157","4.33","0.127","2.18","0.06","44.1%","0.0","0.0","14.7%","2.9%"
"[object Object]","2026","Tony Pollard","Titans","21","5.27","0.251","4.40","0.209","0.28","0.01","38.1%","0.0","0.0","14.3%","0.0%"
"[object Object]","2026","Bhayshul Tuten","Jaguars","28","4.42","0.158","3.37","0.120","1.44","0.05","50.0%","0.0","0.0","7.1%","7.1%"
"[object Object]","2026","Cam Ward","Titans","8","4.25","0.531","3.25","0.406","6.03","0.75","87.5%","0.0","0.0","25.0%","0.0%"
"[object Object]","2026","Tyler Shough","Saints","13","3.73","0.287","3.07","0.236","3.43","0.26","46.2%","0.0","0.0","15.4%","15.4%"
"[object Object]","2026","Patrick Mahomes","Chiefs","9","3.62","0.403","2.97","0.330","2.04","0.23","55.6%","0.0","0.0","33.3%","11.1%"
"[object Object]","2026","Geno Smith","Jets","11","3.29","0.299","2.57","0.233","-4.50","-0.41","36.4%","0.0","0.0","9.1%","27.3%"
"[object Object]","2026","Javonte Williams","Cowboys","24","3.11","0.129","2.20","0.092","-1.23","-0.05","50.0%","0.0","0.0","0.0%","0.0%"
"[object Object]","2026","Carson Wentz","Vikings","8","2.71","0.338","2.32","0.290","-3.70","-0.46","25.0%","0.0","0.0","12.5%","12.5%"
"[object Object]","2026","Chuba Hubbard","Panthers","22","2.65","0.121","1.90","0.086","0.82","0.04","45.5%","0.0","0.0","0.0%","0.0%"
"[object Object]","2026","Saquon Barkley","Eagles","19","2.61","0.137","1.93","0.102","-1.09","-0.06","31.6%","0.0","0.0","5.3%","5.3%"
