"Rank","Season","Team","Att","Points Saved","PS Per Play","Points Above Avg","PAA Per Play","EPA","EPA/Play","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2025","Jaguars","635","259.03","0.369","102.37","0.146","-85.44","-0.12","45.9%","128.4","4.0","16.5%","18.4%"
"[object Object]","2025","Broncos","593","205.35","0.294","55.23","0.079","-65.77","-0.09","40.1%","82.5","2.6","16.0%","18.5%"
"[object Object]","2025","Patriots","527","193.73","0.327","54.88","0.093","-32.81","-0.06","46.9%","78.2","2.4","18.4%","18.9%"
"[object Object]","2025","Seahawks","600","192.68","0.279","43.26","0.063","-65.82","-0.10","42.8%","69.7","2.2","18.0%","18.1%"
"[object Object]","2025","Eagles","542","178.43","0.283","42.48","0.067","-50.40","-0.08","42.6%","67.5","2.1","18.2%","18.9%"
"[object Object]","2025","Rams","589","175.05","0.264","29.59","0.045","-35.27","-0.05","45.5%","54.6","1.7","18.7%","17.2%"
"[object Object]","2025","Chargers","505","170.07","0.288","25.73","0.044","-35.60","-0.06","45.1%","48.9","1.5","18.5%","17.8%"
"[object Object]","2025","Bears","533","162.83","0.274","31.09","0.052","19.20","0.03","50.8%","52.9","1.6","19.7%","15.5%"
"[object Object]","2025","Texans","538","161.07","0.260","16.37","0.026","-91.02","-0.15","41.0%","39.5","1.2","19.7%","21.8%"
"[object Object]","2025","Falcons","529","159.55","0.255","25.30","0.040","3.61","0.01","46.6%","49.1","1.5","19.5%","18.7%"
"[object Object]","2025","Browns","487","157.73","0.280","32.10","0.057","-60.96","-0.11","43.6%","53.1","1.6","19.9%","21.6%"
"[object Object]","2025","Lions","555","151.11","0.238","11.44","0.018","-3.79","-0.01","42.4%","35.5","1.1","22.7%","19.1%"
"[object Object]","2025","Panthers","507","151.08","0.267","22.29","0.039","51.14","0.09","49.2%","43.9","1.4","21.9%","14.9%"
"[object Object]","2025","Ravens","625","139.65","0.201","-7.32","-0.011","48.16","0.07","47.5%","18.3","0.6","19.7%","13.2%"
"[object Object]","2025","Chiefs","509","137.04","0.236","3.96","0.007","5.70","0.01","49.2%","25.6","0.8","18.6%","17.7%"
"[object Object]","2025","Buccaneers","568","129.42","0.201","-15.76","-0.024","45.36","0.07","50.7%","7.8","0.2","21.1%","14.7%"
"[object Object]","2025","Bills","464","128.14","0.243","0.18","0.000","-40.28","-0.08","44.1%","19.9","0.6","20.3%","20.8%"
"[object Object]","2025","Colts","627","123.61","0.178","-20.78","-0.030","29.12","0.04","49.9%","7.0","0.2","19.0%","14.4%"
"[object Object]","2025","Packers","549","123.45","0.201","-11.53","-0.019","26.96","0.04","48.4%","10.9","0.3","18.6%","13.7%"
"[object Object]","2025","49ers","584","121.52","0.192","-21.09","-0.033","74.21","0.12","50.8%","2.8","0.1","20.7%","12.3%"
"[object Object]","2025","Steelers","613","119.37","0.174","-20.37","-0.030","12.38","0.02","48.5%","6.4","0.2","19.3%","14.5%"
"[object Object]","2025","Saints","491","119.19","0.209","-4.40","-0.008","-0.00","-0.00","45.0%","16.8","0.5","18.6%","15.8%"
"[object Object]","2025","Raiders","524","117.54","0.199","-9.51","-0.016","46.68","0.08","48.6%","11.7","0.4","19.6%","14.7%"
"[object Object]","2025","Dolphins","515","114.91","0.194","-17.07","-0.029","69.30","0.12","53.7%","4.3","0.1","22.5%","15.9%"
"[object Object]","2025","Vikings","446","110.05","0.209","-1.91","-0.004","-61.85","-0.12","43.2%","17.2","0.5","16.0%","19.4%"
"[object Object]","2025","Titans","514","95.86","0.161","-39.79","-0.067","81.12","0.14","52.0%","-16.8","-0.5","23.8%","14.8%"
"[object Object]","2025","Giants","550","92.85","0.149","-40.50","-0.065","33.31","0.05","48.9%","-15.6","-0.5","20.4%","13.5%"
"[object Object]","2025","Cardinals","572","82.94","0.132","-48.83","-0.078","82.27","0.13","51.9%","-24.8","-0.8","21.6%","13.3%"
"[object Object]","2025","Commanders","540","75.79","0.123","-54.67","-0.089","112.04","0.18","52.0%","-30.2","-0.9","24.0%","13.5%"
"[object Object]","2025","Bengals","534","65.55","0.108","-68.69","-0.113","71.95","0.12","52.0%","-44.6","-1.4","23.4%","15.1%"
"[object Object]","2025","Cowboys","556","59.56","0.094","-77.95","-0.123","124.64","0.20","52.7%","-55.4","-1.7","22.6%","13.4%"
"[object Object]","2025","Jets","515","45.49","0.079","-75.23","-0.130","132.87","0.23","50.9%","-53.6","-1.7","26.1%","13.3%"
