"Rank","Season","Team","Att","Points Saved","PS Per Play","Points Above Avg","PAA Per Play","EPA","EPA/Play","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2026","Rams","66","30.85","0.441","14.43","0.206","-5.44","-0.08","44.3%","0.0","0.0","20.0%","17.1%"
"[object Object]","2026","Jets","61","30.18","0.425","10.42","0.147","-11.37","-0.16","43.7%","0.0","0.0","11.3%","21.1%"
"[object Object]","2026","Falcons","77","28.89","0.352","10.29","0.126","-3.24","-0.04","45.1%","0.0","0.0","22.0%","17.1%"
"[object Object]","2026","Panthers","61","28.03","0.364","13.21","0.172","-4.96","-0.06","46.8%","0.0","0.0","23.4%","13.0%"
"[object Object]","2026","Seahawks","61","27.46","0.376","9.93","0.136","-10.11","-0.14","46.6%","0.0","0.0","16.4%","19.2%"
"[object Object]","2026","Ravens","65","26.03","0.357","8.80","0.121","-4.93","-0.07","43.8%","0.0","0.0","20.5%","15.1%"
"[object Object]","2026","Bengals","84","25.19","0.254","4.45","0.045","-14.94","-0.15","46.5%","0.0","0.0","15.2%","16.2%"
"[object Object]","2026","Titans","61","22.17","0.326","8.48","0.125","12.08","0.18","55.9%","0.0","0.0","22.1%","11.8%"
"[object Object]","2026","Chiefs","59","21.67","0.328","4.91","0.074","-11.04","-0.17","37.9%","0.0","0.0","13.6%","12.1%"
"[object Object]","2026","Patriots","64","21.06","0.288","4.40","0.060","-14.95","-0.20","39.7%","0.0","0.0","15.1%","20.5%"
"[object Object]","2026","49ers","51","19.40","0.340","5.36","0.094","-7.17","-0.13","36.8%","0.0","0.0","15.8%","21.1%"
"[object Object]","2026","Browns","57","18.39","0.283","3.40","0.052","8.65","0.13","47.7%","0.0","0.0","18.5%","15.4%"
"[object Object]","2026","Packers","65","18.05","0.229","2.31","0.029","-5.31","-0.07","40.5%","0.0","0.0","16.5%","19.0%"
"[object Object]","2026","Steelers","44","18.00","0.340","4.57","0.086","-18.14","-0.34","39.6%","0.0","0.0","18.9%","24.5%"
"[object Object]","2026","Jaguars","53","17.92","0.294","2.36","0.039","-1.31","-0.02","45.9%","0.0","0.0","27.9%","18.0%"
"[object Object]","2026","Buccaneers","65","17.14","0.238","0.92","0.013","8.48","0.12","55.6%","0.0","0.0","16.7%","12.5%"
"[object Object]","2026","Lions","87","16.43","0.163","-0.14","-0.001","13.41","0.13","49.5%","0.0","0.0","21.8%","12.9%"
"[object Object]","2026","Raiders","54","16.43","0.242","-0.46","-0.007","-1.89","-0.03","42.6%","0.0","0.0","20.6%","20.6%"
"[object Object]","2026","Dolphins","52","14.52","0.259","1.60","0.029","21.08","0.38","60.7%","0.0","0.0","37.5%","8.9%"
"[object Object]","2026","Bears","58","13.49","0.201","-1.64","-0.025","5.24","0.08","44.8%","0.0","0.0","20.9%","13.4%"
"[object Object]","2026","Saints","70","12.63","0.160","-4.17","-0.053","6.27","0.08","54.4%","0.0","0.0","20.3%","16.5%"
"[object Object]","2026","Vikings","77","11.26","0.128","-4.43","-0.050","-4.56","-0.05","37.5%","0.0","0.0","19.3%","15.9%"
"[object Object]","2026","Eagles","54","10.67","0.172","-3.31","-0.053","7.14","0.12","40.3%","0.0","0.0","24.2%","11.3%"
"[object Object]","2026","Broncos","56","10.64","0.166","-3.58","-0.056","-7.03","-0.11","43.8%","0.0","0.0","18.8%","21.9%"
"[object Object]","2026","Commanders","56","10.52","0.153","-6.00","-0.087","18.99","0.28","55.1%","0.0","0.0","26.1%","20.3%"
"[object Object]","2026","Cardinals","53","9.81","0.158","-5.13","-0.083","9.48","0.15","46.8%","0.0","0.0","24.2%","16.1%"
"[object Object]","2026","Bills","76","7.19","0.084","-10.58","-0.123","15.93","0.19","51.2%","0.0","0.0","19.8%","12.8%"
"[object Object]","2026","Cowboys","64","5.01","0.066","-10.09","-0.133","27.68","0.36","61.8%","0.0","0.0","26.3%","5.3%"
"[object Object]","2026","Chargers","66","4.89","0.069","-9.68","-0.136","20.21","0.28","53.5%","0.0","0.0","29.6%","12.7%"
"[object Object]","2026","Giants","65","2.95","0.043","-14.19","-0.206","23.20","0.34","58.0%","0.0","0.0","26.1%","10.1%"
"[object Object]","2026","Texans","60","1.68","0.025","-15.02","-0.221","8.95","0.13","41.2%","0.0","0.0","22.1%","16.2%"
"[object Object]","2026","Colts","72","-11.66","-0.144","-27.09","-0.334","27.81","0.34","59.3%","0.0","0.0","29.6%","8.6%"
