"Rank","Season","Team","Points Saved","PS Per Play","Points Above Avg","PAA Per Play","Positive%","PAR","WAR"
"[object Object]","2025","Texans","148.64","0.240","55.57","0.090","40.4%","92.7","2.9"
"[object Object]","2025","Broncos","127.48","0.183","28.48","0.041","39.5%","67.4","2.1"
"[object Object]","2025","Browns","120.46","0.214","37.18","0.066","43.5%","72.1","2.2"
"[object Object]","2025","Lions","114.52","0.180","27.45","0.043","41.9%","64.1","2.0"
"[object Object]","2025","Eagles","112.86","0.179","27.91","0.044","42.2%","64.3","2.0"
"[object Object]","2025","Vikings","112.34","0.214","31.10","0.059","42.6%","62.9","1.9"
"[object Object]","2025","Rams","110.81","0.167","22.24","0.034","44.9%","58.2","1.8"
"[object Object]","2025","Giants","105.71","0.169","17.87","0.029","47.9%","54.0","1.7"
"[object Object]","2025","Seahawks","103.31","0.150","8.48","0.012","42.5%","46.0","1.4"
"[object Object]","2025","Buccaneers","100.08","0.155","3.92","0.006","50.2%","40.9","1.3"
"[object Object]","2025","Steelers","98.52","0.143","6.05","0.009","48.3%","46.7","1.4"
"[object Object]","2025","Titans","95.73","0.161","9.34","0.016","51.2%","42.3","1.3"
"[object Object]","2025","Packers","93.34","0.152","8.82","0.014","47.7%","45.1","1.4"
"[object Object]","2025","Bills","91.20","0.173","9.62","0.018","43.8%","40.2","1.2"
"[object Object]","2025","Colts","89.24","0.128","-2.75","-0.004","49.6%","38.4","1.2"
"[object Object]","2025","Saints","88.51","0.155","8.71","0.015","44.6%","43.0","1.3"
"[object Object]","2025","Chiefs","86.95","0.150","-2.95","-0.005","48.9%","30.8","1.0"
"[object Object]","2025","Cardinals","84.54","0.135","0.54","0.001","51.3%","35.3","1.1"
"[object Object]","2025","Patriots","79.51","0.134","-11.56","-0.019","46.3%","23.9","0.7"
"[object Object]","2025","Falcons","78.72","0.126","-11.44","-0.018","46.3%","24.9","0.8"
"[object Object]","2025","Bengals","73.57","0.121","-10.50","-0.017","51.7%","25.6","0.8"
"[object Object]","2025","Chargers","72.87","0.124","-15.15","-0.026","44.1%","15.4","0.5"
"[object Object]","2025","Raiders","71.55","0.121","-9.02","-0.015","48.2%","27.3","0.8"
"[object Object]","2025","Bears","70.97","0.119","-16.17","-0.027","50.6%","18.6","0.6"
"[object Object]","2025","Cowboys","69.94","0.111","-20.00","-0.032","52.0%","18.4","0.6"
"[object Object]","2025","Jaguars","67.53","0.096","-31.34","-0.045","45.4%","9.9","0.3"
"[object Object]","2025","49ers","67.17","0.106","-24.16","-0.038","50.1%","13.4","0.4"
"[object Object]","2025","Ravens","60.55","0.087","-32.06","-0.046","46.9%","5.8","0.2"
"[object Object]","2025","Commanders","55.07","0.089","-28.41","-0.046","51.2%","8.2","0.3"
"[object Object]","2025","Dolphins","51.44","0.087","-35.18","-0.059","52.9%","-1.1","-0.0"
"[object Object]","2025","Jets","33.63","0.058","-46.93","-0.081","49.7%","-12.0","-0.4"
"[object Object]","2025","Panthers","25.43","0.045","-58.12","-0.103","48.3%","-24.9","-0.8"
