"Rank","Season","Team","Points Saved","PS Per Play","Points Above Avg","PAA Per Play","Positive%","PAR","WAR"
"[object Object]","2026","Steelers","28.62","0.540","20.09","0.379","38.2%","0.0","0.0"
"[object Object]","2026","Vikings","23.71","0.269","10.39","0.118","37.1%","0.0","0.0"
"[object Object]","2026","Patriots","23.20","0.318","11.57","0.158","39.2%","0.0","0.0"
"[object Object]","2026","Raiders","22.31","0.328","11.80","0.174","42.0%","0.0","0.0"
"[object Object]","2026","Bills","21.31","0.248","9.95","0.116","50.6%","0.0","0.0"
"[object Object]","2026","Chiefs","19.50","0.295","8.54","0.129","37.9%","0.0","0.0"
"[object Object]","2026","Broncos","19.39","0.303","9.72","0.152","42.4%","0.0","0.0"
"[object Object]","2026","Bengals","18.84","0.190","6.29","0.064","46.0%","0.0","0.0"
"[object Object]","2026","Falcons","17.88","0.218","6.67","0.081","45.1%","0.0","0.0"
"[object Object]","2026","Texans","17.67","0.260","7.23","0.106","40.6%","0.0","0.0"
"[object Object]","2026","Jets","17.32","0.244","4.52","0.064","41.9%","0.0","0.0"
"[object Object]","2026","Ravens","15.98","0.219","4.80","0.066","43.8%","0.0","0.0"
"[object Object]","2026","Packers","10.86","0.137","0.50","0.006","40.5%","0.0","0.0"
"[object Object]","2026","Cardinals","10.62","0.171","1.18","0.019","45.3%","0.0","0.0"
"[object Object]","2026","49ers","10.57","0.185","1.62","0.028","35.0%","0.0","0.0"
"[object Object]","2026","Seahawks","9.94","0.136","-1.30","-0.018","46.6%","0.0","0.0"
"[object Object]","2026","Jaguars","9.83","0.161","-0.33","-0.005","44.4%","0.0","0.0"
"[object Object]","2026","Bears","8.70","0.130","-2.24","-0.033","44.8%","0.0","0.0"
"[object Object]","2026","Commanders","8.15","0.118","-3.65","-0.053","54.3%","0.0","0.0"
"[object Object]","2026","Saints","7.01","0.089","-3.77","-0.048","54.4%","0.0","0.0"
"[object Object]","2026","Lions","5.30","0.052","-6.70","-0.066","49.0%","0.0","0.0"
"[object Object]","2026","Browns","5.29","0.081","-4.34","-0.067","45.6%","0.0","0.0"
"[object Object]","2026","Eagles","4.79","0.077","-4.42","-0.071","39.7%","0.0","0.0"
"[object Object]","2026","Colts","4.32","0.053","-5.53","-0.068","57.1%","0.0","0.0"
"[object Object]","2026","Panthers","3.92","0.051","-6.35","-0.082","46.2%","0.0","0.0"
"[object Object]","2026","Cowboys","3.88","0.051","-5.96","-0.078","61.0%","0.0","0.0"
"[object Object]","2026","Rams","3.23","0.046","-7.21","-0.103","44.3%","0.0","0.0"
"[object Object]","2026","Chargers","1.49","0.021","-7.98","-0.112","52.8%","0.0","0.0"
"[object Object]","2026","Buccaneers","0.31","0.004","-11.10","-0.154","55.6%","0.0","0.0"
"[object Object]","2026","Titans","-4.87","-0.072","-13.66","-0.201","55.9%","0.0","0.0"
"[object Object]","2026","Giants","-5.39","-0.078","-16.10","-0.233","57.1%","0.0","0.0"
"[object Object]","2026","Dolphins","-9.50","-0.170","-18.30","-0.327","57.6%","0.0","0.0"
