"Rank","Season","Team","Points Saved","PS Per Play","Points Above Avg","PAA Per Play","EPA/A","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2025","Browns","193.10","0.404","30.16","0.063","-0.03","42.5%","54.1","1.7","6.5%","6.1%"
"[object Object]","2025","Vikings","187.76","0.350","4.80","0.009","-0.01","49.7%","31.0","1.0","6.8%","5.5%"
"[object Object]","2025","Raiders","179.00","0.343","14.63","0.028","0.01","47.3%","40.7","1.3","10.2%","7.0%"
"[object Object]","2025","Saints","170.49","0.323","1.83","0.003","-0.03","46.2%","27.8","0.9","7.5%","6.2%"
"[object Object]","2025","Bears","166.48","0.359","7.30","0.016","0.03","49.7%","29.2","0.9","8.3%","6.1%"
"[object Object]","2025","Jets","165.65","0.303","-0.66","-0.001","0.04","46.9%","24.5","0.8","8.9%","5.0%"
"[object Object]","2025","Bills","155.77","0.343","-7.85","-0.017","0.10","52.2%","13.1","0.4","10.0%","6.2%"
"[object Object]","2025","Dolphins","155.66","0.326","-0.76","-0.002","0.03","48.8%","20.7","0.6","9.4%","7.9%"
"[object Object]","2025","Cardinals","155.00","0.312","3.68","0.007","0.05","46.8%","25.9","0.8","7.6%","4.9%"
"[object Object]","2025","Eagles","154.83","0.312","1.52","0.003","0.02","50.0%","22.6","0.7","9.3%","5.1%"
"[object Object]","2025","Steelers","151.53","0.332","8.11","0.018","0.02","48.3%","30.1","0.9","10.4%","6.4%"
"[object Object]","2025","Packers","150.48","0.311","-7.41","-0.015","-0.00","49.9%","16.7","0.5","8.2%","7.1%"
"[object Object]","2025","Patriots","149.48","0.356","6.88","0.016","-0.01","48.9%","26.5","0.8","7.3%","5.1%"
"[object Object]","2025","Rams","145.90","0.327","2.50","0.006","-0.01","45.6%","22.2","0.7","6.4%","4.4%"
"[object Object]","2025","Cowboys","145.50","0.317","3.10","0.007","0.09","50.2%","23.1","0.7","10.6%","5.5%"
"[object Object]","2025","Chargers","145.32","0.341","4.65","0.011","-0.02","46.4%","22.0","0.7","7.2%","5.5%"
"[object Object]","2025","Panthers","143.91","0.292","-17.61","-0.036","0.04","46.3%","4.3","0.1","8.6%","4.8%"
"[object Object]","2025","Texans","143.27","0.354","4.34","0.011","-0.02","43.3%","23.5","0.7","6.8%","7.0%"
"[object Object]","2025","Falcons","142.58","0.300","-8.72","-0.018","0.07","51.3%","12.2","0.4","9.2%","4.5%"
"[object Object]","2025","Bengals","142.55","0.293","-11.47","-0.024","0.11","52.6%","11.2","0.3","9.2%","3.8%"
"[object Object]","2025","Giants","142.41","0.302","-5.04","-0.011","0.14","51.8%","14.9","0.5","11.4%","5.6%"
"[object Object]","2025","Chiefs","141.45","0.311","-8.20","-0.018","0.00","47.8%","13.1","0.4","6.5%","6.5%"
"[object Object]","2025","Broncos","141.31","0.348","12.78","0.031","-0.02","43.3%","30.8","1.0","6.3%","5.0%"
"[object Object]","2025","Seahawks","140.47","0.328","9.59","0.022","-0.11","42.1%","26.0","0.8","5.5%","9.1%"
"[object Object]","2025","Ravens","139.65","0.315","7.32","0.017","-0.03","43.8%","25.6","0.8","7.4%","6.5%"
"[object Object]","2025","Titans","138.58","0.299","-9.69","-0.021","0.05","47.9%","10.7","0.3","8.2%","4.2%"
"[object Object]","2025","Commanders","138.53","0.272","-20.27","-0.040","0.12","52.8%","2.5","0.1","9.9%","5.0%"
"[object Object]","2025","Buccaneers","137.35","0.342","4.81","0.012","-0.04","43.9%","22.8","0.7","8.3%","6.8%"
"[object Object]","2025","Jaguars","134.52","0.360","14.73","0.039","-0.02","49.6%","32.5","1.0","5.4%","6.2%"
"[object Object]","2025","Colts","132.46","0.293","-7.62","-0.017","-0.00","49.6%","13.9","0.4","7.1%","5.1%"
"[object Object]","2025","Lions","128.03","0.285","-17.38","-0.039","0.04","46.5%","5.6","0.2","8.5%","5.8%"
"[object Object]","2025","49ers","119.66","0.274","-22.46","-0.051","0.03","51.4%","-2.4","-0.1","8.5%","5.7%"
