"Rank","Season","Team","Points Saved","PS Per Play","Points Above Avg","PAA Per Play","EPA/A","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2026","Cardinals","26.73","0.431","5.88","0.095","-0.12","44.3%","0.0","0.0","8.2%","11.5%"
"[object Object]","2026","Steelers","26.19","0.437","3.40","0.057","-0.01","44.1%","0.0","0.0","8.5%","5.1%"
"[object Object]","2026","Raiders","24.19","0.448","6.80","0.126","-0.19","44.0%","0.0","0.0","6.0%","10.0%"
"[object Object]","2026","Eagles","24.10","0.383","2.08","0.033","0.07","41.0%","0.0","0.0","11.5%","0.0%"
"[object Object]","2026","Dolphins","23.38","0.354","1.83","0.028","0.00","46.9%","0.0","0.0","4.7%","3.1%"
"[object Object]","2026","Buccaneers","21.65","0.416","5.07","0.098","-0.18","30.0%","0.0","0.0","6.0%","8.0%"
"[object Object]","2026","Vikings","20.75","0.384","4.42","0.082","-0.19","34.6%","0.0","0.0","9.6%","5.8%"
"[object Object]","2026","Browns","19.88","0.343","0.68","0.012","0.08","50.9%","0.0","0.0","5.3%","5.3%"
"[object Object]","2026","Seahawks","19.85","0.405","3.51","0.072","-0.18","33.3%","0.0","0.0","0.0%","10.4%"
"[object Object]","2026","Packers","19.58","0.316","1.77","0.028","-0.21","37.7%","0.0","0.0","4.9%","9.8%"
"[object Object]","2026","Chargers","19.57","0.301","0.50","0.008","-0.08","33.3%","0.0","0.0","7.9%","3.2%"
"[object Object]","2026","Jets","19.39","0.524","6.48","0.175","-0.11","46.9%","0.0","0.0","3.1%","6.3%"
"[object Object]","2026","Broncos","19.09","0.303","-1.49","-0.024","0.17","46.8%","0.0","0.0","14.5%","3.2%"
"[object Object]","2026","Panthers","18.26","0.250","-1.77","-0.024","0.15","50.7%","0.0","0.0","15.5%","5.6%"
"[object Object]","2026","Cowboys","18.20","0.260","-0.78","-0.011","0.12","53.6%","0.0","0.0","5.8%","5.8%"
"[object Object]","2026","49ers","18.18","0.313","-3.70","-0.064","-0.05","50.0%","0.0","0.0","5.2%","6.9%"
"[object Object]","2026","Bears","17.73","0.355","-1.40","-0.028","0.02","46.0%","0.0","0.0","8.0%","4.0%"
"[object Object]","2026","Commanders","17.49","0.372","2.52","0.054","0.08","45.7%","0.0","0.0","10.9%","2.2%"
"[object Object]","2026","Falcons","16.84","0.366","2.77","0.060","-0.14","27.9%","0.0","0.0","0.0%","4.7%"
"[object Object]","2026","Colts","16.42","0.245","-2.57","-0.038","0.22","51.5%","0.0","0.0","13.6%","0.0%"
"[object Object]","2026","Patriots","16.31","0.363","-0.39","-0.009","-0.04","37.8%","0.0","0.0","6.7%","0.0%"
"[object Object]","2026","Titans","15.92","0.212","-5.64","-0.075","-0.01","42.3%","0.0","0.0","5.6%","1.4%"
"[object Object]","2026","Jaguars","15.84","0.305","-2.35","-0.045","0.06","54.0%","0.0","0.0","10.0%","4.0%"
"[object Object]","2026","Bills","15.73","0.297","-0.63","-0.012","-0.02","46.2%","0.0","0.0","11.5%","5.8%"
"[object Object]","2026","Texans","15.27","0.339","-1.63","-0.036","-0.03","31.8%","0.0","0.0","9.1%","2.3%"
"[object Object]","2026","Giants","14.74","0.301","-1.46","-0.030","0.04","58.7%","0.0","0.0","2.2%","2.2%"
"[object Object]","2026","Rams","14.63","0.281","-4.12","-0.079","0.06","51.0%","0.0","0.0","5.9%","2.0%"
"[object Object]","2026","Chiefs","13.74","0.280","-3.49","-0.071","0.07","42.6%","0.0","0.0","8.5%","0.0%"
"[object Object]","2026","Lions","12.66","0.208","-2.75","-0.045","0.20","52.5%","0.0","0.0","14.8%","1.6%"
"[object Object]","2026","Bengals","11.33","0.298","0.33","0.009","-0.24","36.8%","0.0","0.0","7.9%","7.9%"
"[object Object]","2026","Ravens","11.00","0.234","-5.79","-0.123","0.10","48.9%","0.0","0.0","10.6%","4.3%"
"[object Object]","2026","Saints","10.10","0.177","-7.29","-0.128","0.13","63.6%","0.0","0.0","5.5%","5.5%"
